t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,290.7733,1.219822e+02,3.356507e+00,P_CO2,9.412828e-04,9.898001e-04,5.288610e-05,3.521547e-17,6.405692e-10,2.347899e-04,1.277831e-05,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.556710e-17,3.057446e-28,5.523519e-18,5.793344e-31,5.922271e-22,3.912349e-18,1.949984e-19,0.000000e+00,-6.017867e-22,-2.513996e-26,-5.505078e-18,-1.281768e-35,-6.017682e-22,-5.959989e-27,-3.246500e-28,-1.282500e-35,1.556650e-17,1.550633e-17,1.844165e-20,5.793216e-31,-9.541104e-24,3.912349e-18,1.949984e-19,-1.282500e-35
4.4200,24.00,291.1624,1.300674e+02,1.000000e+00,C,2.127557e-03,2.165800e-03,5.492649e-05,7.898544e-17,5.264620e-10,5.345612e-04,2.617638e-05,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.572295e-17,2.870033e-32,5.689868e-18,5.751375e-31,6.002328e-22,3.993998e-18,1.598266e-19,-4.176447e-42,-6.007855e-22,-1.693169e-25,-5.669751e-18,-8.354144e-35,-6.006298e-22,-8.749002e-26,-4.289298e-27,-8.359459e-35,1.572235e-17,1.550633e-17,2.011732e-20,5.750539e-31,-3.969546e-25,3.993998e-18,1.598266e-19,-8.359459e-35
7.3000,28.80,296.3301,2.374501e+02,8.255923e-01,P_CO2,3.295632e-03,3.351458e-03,7.518572e-05,1.324241e-16,6.866144e-10,7.454826e-04,2.297849e-05,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.248490e-17,1.207530e-25,8.410023e-18,6.523114e-31,6.968686e-22,5.908090e-18,2.043713e-19,5.031783e-39,-1.451529e-17,-7.257463e-18,-8.130168e-18,-4.959209e-32,-6.964799e-22,-7.002741e-18,-2.544676e-19,-4.958555e-32,7.969613e-18,8.248866e-18,2.798557e-19,6.027193e-31,3.887663e-25,-1.094651e-18,-5.009626e-20,-4.958554e-32
10.7560,34.56,297.5852,2.635310e+02,2.813137e-01,C,4.042212e-03,4.097043e-03,8.223236e-05,1.976138e-16,7.870520e-10,5.310526e-04,1.614089e-05,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.429557e-17,-5.740065e-31,9.210388e-18,6.532227e-31,6.894708e-22,6.514944e-18,2.275234e-19,-1.252934e-42,-1.739515e-17,-8.697469e-18,-9.228518e-18,-5.733536e-32,-6.897252e-22,-8.412412e-18,-2.846509e-19,-5.732407e-32,6.900423e-18,6.808860e-18,-1.813050e-20,5.958873e-31,-2.544182e-25,-1.897468e-18,-5.712755e-20,-5.732407e-32
14.9032,41.47,297.1809,2.551303e+02,3.373212e-01,C,5.030125e-03,5.071080e-03,8.238100e-05,2.757605e-16,8.978814e-10,3.483730e-04,1.062245e-05,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.330355e-17,2.547154e-28,8.935344e-18,6.411949e-31,6.695963e-22,6.350644e-18,2.417530e-19,3.800567e-41,-1.536783e-17,-7.683806e-18,-8.942656e-18,-4.296720e-32,-6.697995e-22,-7.409378e-18,-2.739930e-19,-4.566769e-32,7.935721e-18,7.822523e-18,-7.311240e-21,5.982277e-31,-2.031900e-25,-1.058734e-18,-3.224004e-20,-4.566769e-32
19.0504,41.47,297.0957,2.533596e+02,3.666946e-01,C,6.109087e-03,6.133997e-03,8.216181e-05,3.535654e-16,8.736401e-10,2.437748e-04,7.420562e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.282357e-17,-2.870033e-31,8.871726e-18,6.293555e-31,6.531026e-22,6.322845e-18,2.492703e-19,-5.011737e-42,-1.437098e-17,-7.185396e-18,-8.869006e-18,-3.796690e-32,-6.532810e-22,-6.917377e-18,-2.675733e-19,-3.795351e-32,8.452591e-18,8.320933e-18,2.719716e-21,5.913886e-31,-1.783502e-25,-5.945323e-19,-1.830302e-20,-3.795351e-32
23.1976,41.47,297.2165,2.558695e+02,3.775891e-01,C,7.232337e-03,7.238682e-03,8.289688e-05,4.306899e-16,8.533580e-10,1.831624e-04,5.548149e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.266409e-17,0.000000e+00,8.941287e-18,6.180895e-31,6.386635e-22,6.383007e-18,2.531481e-19,-5.847026e-42,-1.401205e-17,-7.005941e-18,-8.933296e-18,-3.264164e-32,-6.387550e-22,-6.741234e-18,-2.642491e-19,-3.262814e-32,8.652036e-18,8.500388e-18,7.991306e-21,5.854478e-31,-9.148928e-26,-3.582265e-19,-1.110100e-20,-3.262814e-32
27.3448,41.47,297.4365,2.604413e+02,3.791700e-01,C,8.370325e-03,8.355500e-03,8.409925e-05,5.069618e-16,8.350509e-10,1.454175e-04,4.374459e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.265799e-17,-8.610098e-32,9.076004e-18,6.071928e-31,6.253493e-22,6.486219e-18,2.550786e-19,-3.758802e-42,-1.396042e-17,-6.980136e-18,-9.065859e-18,-2.869232e-32,-6.254615e-22,-6.717383e-18,-2.622831e-19,-2.867784e-32,8.697568e-18,8.526193e-18,1.014522e-20,5.785005e-31,-1.121933e-25,-2.311639e-19,-7.204530e-21,-2.867784e-32
31.4920,41.47,297.7039,2.659968e+02,3.761043e-01,C,9.508672e-03,9.470140e-03,8.553629e-05,5.822779e-16,8.178968e-10,1.203879e-04,3.591652e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.272686e-17,-1.148013e-31,9.243667e-18,5.965538e-31,6.127064e-22,6.611106e-18,2.558614e-19,3.341158e-42,-1.406059e-17,-7.030232e-18,-9.232067e-18,-2.560922e-32,-6.128232e-22,-6.768942e-18,-2.608123e-19,-2.559435e-32,8.666261e-18,8.476097e-18,1.160086e-20,5.709446e-31,-1.168665e-25,-1.578361e-19,-4.950961e-21,-2.559435e-32
36.4686,49.77,298.0554,2.733012e+02,3.693121e-01,C,1.086858e-02,1.079803e-02,8.980052e-05,6.712886e-16,9.479712e-10,1.022777e-04,3.031219e-06,0.000000e+00,0.000000e+00,1.550633e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.285953e-17,-8.610098e-32,9.467785e-18,5.838938e-31,5.973901e-22,6.776020e-18,2.555422e-19,0.000000e+00,-1.428415e-17,-7.142020e-18,-9.454989e-18,-2.276967e-32,-5.975438e-22,-6.882608e-18,-2.589269e-19,-2.275483e-32,8.575377e-18,8.364309e-18,1.279623e-20,5.611242e-31,-1.537933e-25,-1.065877e-19,-3.384700e-21,-2.275483e-32
