Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_4,1218.1411764692878,G2,6371000,5.972e+24,102677.16512810826,1677.1651281082643,1000,0.05,0.25,True,0.77,True,0.6,True,True,288.892,Success
run_7,655.1674069860636,G2,6371000,5.972e+24,101009.18972196852,9.189721968512952,1000,0.05,0.25,True,0.77,True,0.6,True,True,252.506,Success
run_3,157.82230567471774,G2,6371000,5.972e+24,113233.74803404324,12233.748034043238,1000,0.05,0.25,True,0.77,True,0.6,True,True,193.523,Success
run_5,1609.0801095399715,G2,6371000,5.972e+24,101005.72588428612,5.725884286126138,1000,0.05,0.25,True,0.77,True,0.6,True,True,296.311,Success
run_1,951.8112139072916,G2,6371000,5.972e+24,101316.7014582951,316.70145829509534,1000,0.05,0.25,True,0.77,True,0.6,True,True,275.437,Success
run_6,1742.5850500258189,G2,6371000,5.972e+24,148338.29736135848,47338.29736135846,1000,0.05,0.25,True,0.77,True,0.6,True,True,356.802,Success
run_0,894.2752760288164,G2,6371000,5.972e+24,536627.9074957597,435627.90749575966,1000,0.05,0.25,True,0.77,True,0.6,True,True,344.563,Success
run_2,1041.5523056796133,G2,6371000,5.972e+24,928452.1923809812,827452.1923809812,1000,0.05,0.25,True,0.77,True,0.6,True,True,364.956,Success
run_10,1083.7959388484344,G2,6371000,5.972e+24,101001.94880962773,1.9488096277418572,1000,0.05,0.25,True,0.77,True,0.6,True,True,274.78,Success
run_11,639.4615859519565,G2,6371000,5.972e+24,101923.8648988345,923.8648988345002,1000,0.05,0.25,True,0.77,True,0.6,True,True,257.828,Success
run_8,1479.969629408472,G2,6371000,5.972e+24,103180.96067554045,2180.9606755404548,1000,0.05,0.25,True,0.77,True,0.6,True,True,330.867,Success
run_12,1869.5717621701813,G2,6371000,5.972e+24,106092.918373155,5092.918373155003,1000,0.05,0.25,True,0.77,True,0.6,True,True,360.786,Success
run_9,1367.8863688265526,G2,6371000,5.972e+24,110525.260246946,9525.26024694599,1000,0.05,0.25,True,0.77,True,0.6,True,True,328.714,Success
run_13,708.9254750795976,G2,6371000,5.972e+24,165174.67158164928,64174.67158164929,1000,0.05,0.25,True,0.77,True,0.6,True,True,277.085,Success
run_14,1065.9475946394132,G2,6371000,5.972e+24,336837.0405078096,235837.0405078096,1000,0.05,0.25,True,0.77,True,0.6,True,True,341.604,Success
run_15,366.4181103196511,G2,6371000,5.972e+24,245369.86454240556,144369.86454240556,1000,0.05,0.25,True,0.77,True,0.6,True,True,245.845,Success
run_17,793.9287732983892,G2,6371000,5.972e+24,101009.01252020337,9.01252020336249,1000,0.05,0.25,True,0.77,True,0.6,True,True,262.003,Success
