,P_CO2 (Pa),Instellation (W/m^2),Surface_Temp (K)
0,1.0,136.0,170.788
1,1.0,294.6666666666667,202.904
2,1.0,453.3333333333333,223.863
3,1.0,611.9999999999999,239.856
4,1.0,770.6666666666666,252.739
5,1.0,929.3333333333333,263.186
6,1.0,1088.0,271.799
7,1.0,1246.6666666666665,279.488
8,1.0,1405.3333333333333,286.609
9,1.0,1563.9999999999998,293.458
10,1.0,1722.6666666666665,333.748
11,1.0,1881.3333333333333,345.666
12,1.0,2040.0,357.783
13,3.1622776601683795,136.0,171.344
14,3.1622776601683795,294.6666666666667,203.848
15,3.1622776601683795,453.3333333333333,225.064
16,3.1622776601683795,611.9999999999999,241.213
17,3.1622776601683795,770.6666666666666,254.141
18,3.1622776601683795,929.3333333333333,264.551
19,3.1622776601683795,1088.0,273.17
20,3.1622776601683795,1246.6666666666665,280.905
21,3.1622776601683795,1405.3333333333333,288.079
22,3.1622776601683795,1563.9999999999998,295.016
23,3.1622776601683795,1722.6666666666665,334.688
24,3.1622776601683795,1881.3333333333333,346.414
25,3.1622776601683795,2040.0,358.4
26,10.0,136.0,171.922
27,10.0,294.6666666666667,204.848
28,10.0,453.3333333333333,226.288
29,10.0,611.9999999999999,242.55
30,10.0,770.6666666666666,255.487
31,10.0,929.3333333333333,265.861
32,10.0,1088.0,274.509
33,10.0,1246.6666666666665,282.281
34,10.0,1405.3333333333333,289.501
35,10.0,1563.9999999999998,296.57
36,10.0,1722.6666666666665,335.951
37,10.0,1881.3333333333333,347.56
38,10.0,2040.0,359.448
39,31.622776601683793,136.0,172.365
40,31.622776601683793,294.6666666666667,205.679
41,31.622776601683793,453.3333333333333,227.31
42,31.622776601683793,611.9999999999999,243.632
43,31.622776601683793,770.6666666666666,256.528
44,31.622776601683793,929.3333333333333,266.863
45,31.622776601683793,1088.0,275.559
46,31.622776601683793,1246.6666666666665,283.341
47,31.622776601683793,1405.3333333333333,290.619
48,31.622776601683793,1563.9999999999998,297.883
49,31.622776601683793,1722.6666666666665,337.575
50,31.622776601683793,1881.3333333333333,349.161
51,31.622776601683793,2040.0,360.994
52,100.0,136.0,172.697
53,100.0,294.6666666666667,206.39
54,100.0,453.3333333333333,228.168
55,100.0,611.9999999999999,244.548
56,100.0,770.6666666666666,257.402
57,100.0,929.3333333333333,267.677
58,100.0,1088.0,276.411
59,100.0,1246.6666666666665,284.195
60,100.0,1405.3333333333333,291.513
61,100.0,1563.9999999999998,328.778
62,100.0,1722.6666666666665,339.538
63,100.0,1881.3333333333333,351.232
64,100.0,2040.0,363.05
65,316.22776601683796,136.0,173.373
66,316.22776601683796,294.6666666666667,207.589
67,316.22776601683796,453.3333333333333,229.564
68,316.22776601683796,611.9999999999999,246.02
69,316.22776601683796,770.6666666666666,258.845
70,316.22776601683796,929.3333333333333,269.029
71,316.22776601683796,1088.0,277.734
72,316.22776601683796,1246.6666666666665,285.52
73,316.22776601683796,1405.3333333333333,292.791
74,316.22776601683796,1563.9999999999998,330.89
75,316.22776601683796,1722.6666666666665,341.909
76,316.22776601683796,1881.3333333333333,353.755
77,316.22776601683796,2040.0,365.482
78,1000.0,136.0,174.393
79,1000.0,294.6666666666667,209.338
80,1000.0,453.3333333333333,231.686
81,1000.0,611.9999999999999,248.328
82,1000.0,770.6666666666666,261.163
83,1000.0,929.3333333333333,271.26
84,1000.0,1088.0,279.95
85,1000.0,1246.6666666666665,287.721
86,1000.0,1405.3333333333333,295.0
87,1000.0,1563.9999999999998,333.345
88,1000.0,1722.6666666666665,344.754
89,1000.0,1881.3333333333333,356.791
90,1000.0,2040.0,368.309
91,3162.2776601683795,136.0,175.417
92,3162.2776601683795,294.6666666666667,211.259
93,3162.2776601683795,453.3333333333333,234.249
94,3162.2776601683795,611.9999999999999,251.263
95,3162.2776601683795,770.6666666666666,264.181
96,3162.2776601683795,929.3333333333333,274.33
97,3162.2776601683795,1088.0,283.091
98,3162.2776601683795,1246.6666666666665,290.841
99,3162.2776601683795,1405.3333333333333,326.035
100,3162.2776601683795,1563.9999999999998,336.013
101,3162.2776601683795,1722.6666666666665,347.856
102,3162.2776601683795,1881.3333333333333,360.198
103,3162.2776601683795,2040.0,371.693
104,10000.0,136.0,176.306
105,10000.0,294.6666666666667,213.224
106,10000.0,453.3333333333333,237.131
107,10000.0,611.9999999999999,254.755
108,10000.0,770.6666666666666,267.866
109,10000.0,929.3333333333333,278.287
110,10000.0,1088.0,287.229
111,10000.0,1246.6666666666665,295.153
112,10000.0,1405.3333333333333,329.453
113,10000.0,1563.9999999999998,338.906
114,10000.0,1722.6666666666665,350.714
115,10000.0,1881.3333333333333,363.342
116,10000.0,2040.0,375.192
117,31622.776601683792,136.0,177.154
118,31622.776601683792,294.6666666666667,215.394
119,31622.776601683792,453.3333333333333,240.438
120,31622.776601683792,611.9999999999999,258.971
121,31622.776601683792,770.6666666666666,272.629
122,31622.776601683792,929.3333333333333,283.439
123,31622.776601683792,1088.0,292.838
124,31622.776601683792,1246.6666666666665,326.31
125,31622.776601683792,1405.3333333333333,334.467
126,31622.776601683792,1563.9999999999998,342.995
127,31622.776601683792,1722.6666666666665,353.699
128,31622.776601683792,1881.3333333333333,366.052
129,31622.776601683792,2040.0,377.822
130,100000.0,136.0,178.526
131,100000.0,294.6666666666667,218.179
132,100000.0,453.3333333333333,244.967
133,100000.0,611.9999999999999,264.965
134,100000.0,770.6666666666666,279.853
135,100000.0,929.3333333333333,291.786
136,100000.0,1088.0,327.541
137,100000.0,1246.6666666666665,335.534
138,100000.0,1405.3333333333333,342.975
139,100000.0,1563.9999999999998,350.429
140,100000.0,1722.6666666666665,358.997
141,100000.0,1881.3333333333333,369.675
142,100000.0,2040.0,381.264
143,316227.7660168379,136.0,180.712
144,316227.7660168379,294.6666666666667,222.215
145,316227.7660168379,453.3333333333333,251.726
146,316227.7660168379,611.9999999999999,274.422
147,316227.7660168379,770.6666666666666,291.281
148,316227.7660168379,929.3333333333333,333.673
149,316227.7660168379,1088.0,343.423
150,316227.7660168379,1246.6666666666665,351.201
151,316227.7660168379,1405.3333333333333,357.982
152,316227.7660168379,1563.9999999999998,364.398
153,316227.7660168379,1722.6666666666665,-1.0
154,316227.7660168379,1881.3333333333333,-1.0
155,316227.7660168379,2040.0,388.254
156,1000000.0,136.0,183.8
157,1000000.0,294.6666666666667,229.274
158,1000000.0,453.3333333333333,261.629
159,1000000.0,611.9999999999999,287.709
160,1000000.0,770.6666666666666,340.663
161,1000000.0,929.3333333333333,355.401
162,1000000.0,1088.0,366.25
163,1000000.0,1246.6666666666665,374.477
164,1000000.0,1405.3333333333333,381.45
165,1000000.0,1563.9999999999998,387.776
166,1000000.0,1722.6666666666665,-1.0
167,1000000.0,1881.3333333333333,-1.0
168,1000000.0,2040.0,406.607
