Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.1,1.0,1e-06,1.0,0.05,0.3,0.25,148.97174351330304
0.1,1.0,1e-05,1.0,0.05,0.3,0.25,152.7675050075981
0.1,1.0,1e-05,10.0,0.05,0.3,0.25,150.49712405189405
0.1,1.0,1e-06,10.0,0.05,0.3,0.25,149.1817129936113
0.1,1.0,1e-05,0.01,0.05,0.3,0.25,147.71571123913552
0.1,1.0,1e-05,0.0001,0.05,0.3,0.25,145.9814130324244
0.1,1.0,1e-06,0.0001,0.05,0.3,0.25,142.04426567083289
0.1,1.0,1e-05,0.001,0.05,0.3,0.25,146.6876399181521
0.1,1.0,1e-06,0.1,0.05,0.3,0.25,144.7040127878442
0.1,1.0,1e-06,0.001,0.05,0.3,0.25,142.58206737155464
0.1,1.0,1e-06,1e-05,0.05,0.3,0.25,141.65589475110772
0.1,1.0,1e-06,1e-06,0.05,0.3,0.25,141.20775495748677
0.1,1.0,1e-05,1e-05,0.05,0.3,0.25,145.48801289034134
0.1,1.0,1e-05,1e-06,0.05,0.3,0.25,144.9401729421327
0.1,1.0,1e-05,0.1,0.05,0.3,0.25,149.1544285397136
0.1,1.0,1e-06,0.01,0.05,0.3,0.25,143.3801209409036
0.1,1.0,0.0001,1e-06,0.05,0.3,0.25,150.3084128435404
0.1,1.0,0.0001,10.0,0.05,0.3,0.25,153.85390150332952
0.1,1.0,0.0001,1.0,0.05,0.3,0.25,160.11785562284354
0.1,1.0,0.0001,0.0001,0.05,0.3,0.25,151.68821245903547
0.1,1.0,0.0001,1e-05,0.05,0.3,0.25,151.01386934502153
0.1,1.0,0.0001,0.001,0.05,0.3,0.25,152.6849713565511
0.1,1.0,0.0001,0.01,0.05,0.3,0.25,154.04808388759096
0.1,1.0,0.001,1e-06,0.05,0.3,0.25,157.29398259852863
0.1,1.0,0.0001,0.1,0.05,0.3,0.25,155.88280707252474
0.1,1.0,0.001,1e-05,0.05,0.3,0.25,158.28041992011214
0.1,1.0,0.001,10.0,0.05,0.3,0.25,160.89544409612876
0.1,1.0,0.001,1.0,0.05,0.3,0.25,171.0234823091629
0.1,1.0,0.01,1e-06,0.05,0.3,0.25,164.279784252244
0.1,1.0,0.01,1e-05,0.05,0.3,0.25,165.6146911905321
0.1,1.0,0.01,0.0001,0.05,0.3,0.25,166.9661309065017
0.1,1.0,0.001,0.001,0.05,0.3,0.25,160.71301201031562
0.1,1.0,0.001,0.0001,0.05,0.3,0.25,159.25548366339893
0.1,1.0,0.001,0.01,0.05,0.3,0.25,162.54982449000852
0.1,1.0,0.01,1.0,0.05,0.3,0.25,182.3324265505134
0.1,1.0,0.001,0.1,0.05,0.3,0.25,164.98756658377818
0.1,1.0,0.01,10.0,0.05,0.3,0.25,169.8953469012875
0.1,1.0,0.1,1e-06,0.05,0.3,0.25,165.8610895078422
0.1,1.0,0.01,0.1,0.05,0.3,0.25,174.60499270665332
0.1,1.0,0.01,0.01,0.05,0.3,0.25,171.46967911895584
0.1,1.0,0.01,0.001,0.05,0.3,0.25,168.9856106088892
0.1,1.0,0.1,1e-05,0.05,0.3,0.25,167.2887944358616
0.1,1.0,0.1,1.0,0.05,0.3,0.25,184.88916681854528
0.1,1.0,0.1,0.01,0.05,0.3,0.25,173.5967943951983
0.1,1.0,0.1,0.1,0.05,0.3,0.25,176.9727948183512
0.1,1.0,0.1,0.001,0.05,0.3,0.25,170.9454711771789
0.1,1.0,1.0,0.0001,0.05,0.3,0.25,170.2132874460788
0.1,1.0,1.0,0.01,0.05,0.3,0.25,175.91734384458655
0.1,1.0,1.0,0.1,0.05,0.3,0.25,179.99622295426843
0.1,1.0,1.0,1.0,0.05,0.3,0.25,187.1185551968539
0.1,1.0,0.1,10.0,0.05,0.3,0.25,172.0968640423701
0.1,1.0,0.1,0.0001,0.05,0.3,0.25,168.7244759561132
0.1,1.0,10.0,1e-06,0.05,0.3,0.25,166.65628679458777
0.1,1.0,10.0,1e-05,0.05,0.3,0.25,168.45961886038202
0.1,1.0,1.0,10.0,0.05,0.3,0.25,172.46866122446716
0.1,1.0,1.0,1e-05,0.05,0.3,0.25,168.5946874864965
0.1,1.0,1.0,1e-06,0.05,0.3,0.25,167.08964205718635
0.1,1.0,1.0,0.001,0.05,0.3,0.25,172.86609455861404
0.1,1.0,10.0,0.001,0.05,0.3,0.25,174.64181589966213
0.1,1.0,10.0,0.01,0.05,0.3,0.25,179.69493247751493
0.1,1.0,10.0,0.0001,0.05,0.3,0.25,170.6749743610019
0.1,1.0,10.0,1.0,0.05,0.3,0.25,189.88033462280066
0.1,1.0,10.0,10.0,0.05,0.3,0.25,174.93086671833743
0.2,1.0,1e-06,1e-05,0.05,0.3,0.25,168.3709181698959
0.1,1.0,10.0,0.1,0.05,0.3,0.25,184.66301923481024
0.2,1.0,1e-06,0.01,0.05,0.3,0.25,171.92705062461098
0.2,1.0,1e-06,0.1,0.05,0.3,0.25,173.65150881835768
0.2,1.0,1e-06,1e-06,0.05,0.3,0.25,167.48277934364543
0.2,1.0,1e-06,0.0001,0.05,0.3,0.25,169.2674826025036
0.2,1.0,1e-06,1.0,0.05,0.3,0.25,178.1067379084531
0.2,1.0,1e-06,0.001,0.05,0.3,0.25,170.5374957313306
0.2,1.0,1e-05,0.001,0.05,0.3,0.25,174.49612093768351
0.2,1.0,1e-05,0.0001,0.05,0.3,0.25,173.01457950507867
0.2,1.0,1e-05,0.01,0.05,0.3,0.25,176.11403790821336
0.2,1.0,1e-05,1.0,0.05,0.3,0.25,182.74953423560183
0.2,1.0,1e-05,10.0,0.05,0.3,0.25,179.87247219681967
0.2,1.0,1e-06,10.0,0.05,0.3,0.25,178.0580508485151
0.2,1.0,1e-05,0.1,0.05,0.3,0.25,178.1036084427146
0.2,1.0,1e-05,1e-06,0.05,0.3,0.25,170.95255157957155
0.2,1.0,1e-05,1e-05,0.05,0.3,0.25,171.97161911193103
0.2,1.0,0.0001,1e-06,0.05,0.3,0.25,176.1270915350811
0.2,1.0,0.0001,1e-05,0.05,0.3,0.25,177.35821047381128
0.2,1.0,0.0001,0.0001,0.05,0.3,0.25,178.65909842283415
0.2,1.0,0.0001,0.001,0.05,0.3,0.25,180.49563088944296
0.2,1.0,0.0001,1.0,0.05,0.3,0.25,191.13138836142946
0.2,1.0,0.0001,10.0,0.05,0.3,0.25,184.25800568327156
0.2,1.0,0.0001,0.1,0.05,0.3,0.25,184.90957454569892
0.2,1.0,0.001,0.001,0.05,0.3,0.25,188.65832201498694
0.2,1.0,0.001,1e-06,0.05,0.3,0.25,183.06981996187548
0.2,1.0,0.001,0.1,0.05,0.3,0.25,194.20393094680762
0.2,1.0,0.001,0.0001,0.05,0.3,0.25,186.28920611522543
0.2,1.0,0.0001,0.01,0.05,0.3,0.25,182.46640175053253
