Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.1,1.0,1e-06,0.0001,0.05,0.3,0.25,142.23765636636801
0.1,1.0,1e-06,0.001,0.05,0.3,0.25,142.77379346130178
0.1,1.0,1e-06,0.01,0.05,0.3,0.25,143.575043210294
0.1,1.0,1e-05,1e-06,0.05,0.3,0.25,145.12926758396418
0.1,1.0,1e-05,1e-05,0.05,0.3,0.25,145.67913723352774
0.1,1.0,0.0001,0.0001,0.05,0.3,0.25,152.6740683491361
0.1,1.0,1e-05,0.01,0.05,0.3,0.25,147.90201533006635
0.1,1.0,1e-05,0.0001,0.05,0.3,0.25,146.1734307996356
0.1,1.0,0.0001,1e-06,0.05,0.3,0.25,151.22974038693886
0.1,1.0,1e-06,1e-06,0.05,0.3,0.25,141.40045222071745
0.1,1.0,1e-06,1e-05,0.05,0.3,0.25,141.85007197690217
0.1,1.0,1e-05,0.1,0.05,0.3,0.25,149.1329431403069
0.1,1.0,1e-06,0.1,0.05,0.3,0.25,144.44330656628472
0.1,1.0,0.0001,0.001,0.05,0.3,0.25,153.7060349086382
0.1,1.0,1e-05,1.0,0.05,0.3,0.25,149.19507602729487
0.1,1.0,1e-06,10.0,0.05,0.3,0.25,134.96940502982687
0.1,1.0,0.0001,1e-05,0.05,0.3,0.25,151.96179462851856
0.1,1.0,1e-05,10.0,0.05,0.3,0.25,143.38390627449706
0.1,1.0,0.0001,1.0,0.05,0.3,0.25,158.3690432768985
0.1,1.0,0.001,0.001,0.05,0.3,0.25,163.2709331545869
0.1,1.0,0.0001,10.0,0.05,0.3,0.25,156.0993466542825
0.1,1.0,0.001,0.0001,0.05,0.3,0.25,161.65730073336908
0.1,1.0,0.001,1e-06,0.05,0.3,0.25,159.47746207614554
0.1,1.0,0.0001,0.01,0.05,0.3,0.25,155.11190745771103
0.1,1.0,1e-06,1.0,0.05,0.3,0.25,143.52977608146693
0.1,1.0,1e-05,0.001,0.05,0.3,0.25,146.87922825986703
0.1,1.0,0.0001,0.1,0.05,0.3,0.25,156.88833468412832
0.1,1.0,0.001,1e-05,0.05,0.3,0.25,160.56446998854597
0.1,1.0,0.001,10.0,0.05,0.3,0.25,173.39392133430079
0.1,1.0,0.001,0.01,0.05,0.3,0.25,165.26913596757208
0.1,1.0,0.001,0.1,0.05,0.3,0.25,167.79880605239813
0.1,1.0,0.01,0.1,0.05,0.3,0.25,181.83859422167725
0.1,1.0,0.001,1.0,0.05,0.3,0.25,171.09611118980715
0.1,1.0,0.01,10.0,0.05,0.3,0.25,190.46207980315972
0.1,1.0,0.01,1.0,0.05,0.3,0.25,186.87993587779283
0.1,1.0,0.01,0.01,0.05,0.3,0.25,178.31557698648345
0.1,1.0,0.01,0.001,0.05,0.3,0.25,175.3369188944352
0.1,1.0,0.01,0.0001,0.05,0.3,0.25,172.85414712415937
0.1,1.0,0.01,1e-06,0.05,0.3,0.25,169.53727837601457
0.1,1.0,0.01,1e-05,0.05,0.3,0.25,171.17569286823118
0.1,1.0,0.1,1.0,0.05,0.3,0.25,200.32215572742575
0.1,1.0,0.1,10.0,0.05,0.3,0.25,198.33956854798873
0.1,1.0,0.1,1e-05,0.05,0.3,0.25,183.45553418731822
0.1,1.0,0.1,0.1,0.05,0.3,0.25,195.88625332955385
0.1,1.0,1.0,10.0,0.05,0.3,0.25,203.87737257812665
0.1,1.0,0.1,1e-06,0.05,0.3,0.25,181.4161294525944
0.1,1.0,0.1,0.0001,0.05,0.3,0.25,185.66919233913208
0.1,1.0,0.1,0.001,0.05,0.3,0.25,188.73537055804215
0.1,1.0,1.0,0.1,0.05,0.3,0.25,203.09612190937798
0.1,1.0,1.0,1e-06,0.05,0.3,0.25,194.04248037497655
0.1,1.0,1.0,1e-05,0.05,0.3,0.25,194.91862270761533
0.1,1.0,0.1,0.01,0.05,0.3,0.25,192.2298106052518
0.1,1.0,1.0,0.0001,0.05,0.3,0.25,196.10645788630998
0.1,1.0,1.0,0.01,0.05,0.3,0.25,200.3401343991252
0.1,1.0,1.0,0.001,0.05,0.3,0.25,198.05890162344954
0.1,1.0,1.0,1.0,0.05,0.3,0.25,206.29093183924067
0.2,1.0,1e-06,1e-06,0.05,0.3,0.25,167.71357755043186
0.2,1.0,1e-06,1e-05,0.05,0.3,0.25,168.60385254436375
0.2,1.0,1e-06,0.001,0.05,0.3,0.25,170.77292328297503
0.2,1.0,1e-06,0.0001,0.05,0.3,0.25,169.5026105820135
0.2,1.0,1e-06,0.1,0.05,0.3,0.25,173.54983492677098
0.2,1.0,1e-06,0.01,0.05,0.3,0.25,172.15585975725415
0.2,1.0,1e-05,1e-06,0.05,0.3,0.25,171.18066948687806
0.2,1.0,1e-05,0.0001,0.05,0.3,0.25,173.24842142225415
0.2,1.0,1e-06,1.0,0.05,0.3,0.25,173.199196822355
0.2,1.0,1e-05,1e-05,0.05,0.3,0.25,172.2023413839649
0.2,1.0,1e-05,0.001,0.05,0.3,0.25,174.73182323099675
0.2,1.0,1e-05,0.01,0.05,0.3,0.25,176.3455959083034
0.2,1.0,1e-05,10.0,0.05,0.3,0.25,172.28581510609828
0.2,1.0,1e-05,0.1,0.05,0.3,0.25,178.1611651966231
0.2,1.0,1e-05,1.0,0.05,0.3,0.25,178.9393919568142
0.2,1.0,0.0001,1e-06,0.05,0.3,0.25,177.075261555953
0.2,1.0,0.0001,1e-05,0.05,0.3,0.25,178.3428293373514
0.1,1.0,10.0,1e-06,0.05,0.3,0.25,232.4887831306673
