Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.1,1.0,1e-05,10.0,0.05,0.3,0.25,150.7937039586876
0.1,1.0,1e-06,10.0,0.05,0.3,0.25,149.47505257340404
0.1,1.0,1e-06,0.001,0.05,0.3,0.25,142.7738460123176
0.1,1.0,1e-05,0.0001,0.05,0.3,0.25,146.17343048031069
0.1,1.0,1e-06,0.01,0.05,0.3,0.25,143.5797013705314
0.1,1.0,1e-05,0.01,0.05,0.3,0.25,147.9044651959194
0.1,1.0,1e-05,1.0,0.05,0.3,0.25,153.06188843304588
0.1,1.0,1e-05,0.1,0.05,0.3,0.25,149.35670427948503
0.1,1.0,1e-05,1e-06,0.05,0.3,0.25,145.1298743449935
0.1,1.0,1e-05,0.001,0.05,0.3,0.25,146.87925362921203
0.1,1.0,1e-05,1e-05,0.05,0.3,0.25,145.67913586744194
0.1,1.0,1e-06,0.0001,0.05,0.3,0.25,142.23765778372731
0.1,1.0,1e-06,1e-05,0.05,0.3,0.25,141.85004489731662
0.1,1.0,1e-06,1e-06,0.05,0.3,0.25,141.40044208271982
0.1,1.0,1e-06,0.1,0.05,0.3,0.25,144.9117999960524
0.1,1.0,1e-06,1.0,0.05,0.3,0.25,149.2642798950829
0.1,1.0,0.0001,1e-06,0.05,0.3,0.25,151.22974038027462
0.1,1.0,0.0001,10.0,0.05,0.3,0.25,154.72746284174394
0.1,1.0,0.0001,0.0001,0.05,0.3,0.25,152.67406886807987
0.1,1.0,0.0001,0.001,0.05,0.3,0.25,153.7060492777111
0.1,1.0,0.0001,0.1,0.05,0.3,0.25,157.0148467863353
0.1,1.0,0.0001,0.01,0.05,0.3,0.25,155.113268575676
0.1,1.0,0.0001,1.0,0.05,0.3,0.25,161.51198191192688
0.1,1.0,0.0001,1e-05,0.05,0.3,0.25,151.96179464854114
0.1,1.0,0.001,1e-06,0.05,0.3,0.25,159.47746207839856
0.1,1.0,0.001,1e-05,0.05,0.3,0.25,160.5644699936966
0.1,1.0,0.001,10.0,0.05,0.3,0.25,163.75211920026882
0.1,1.0,0.001,1.0,0.05,0.3,0.25,174.48272594464075
0.1,1.0,0.01,1e-06,0.05,0.3,0.25,169.53727835505697
0.1,1.0,0.01,0.1,0.05,0.3,0.25,181.92656376847773
0.1,1.0,0.01,1e-05,0.05,0.3,0.25,171.17569287864796
0.1,1.0,0.01,1.0,0.05,0.3,0.25,190.09890620313058
0.1,1.0,0.001,0.0001,0.05,0.3,0.25,161.65730059798594
0.1,1.0,0.01,0.01,0.05,0.3,0.25,178.31652581427625
0.1,1.0,0.001,0.001,0.05,0.3,0.25,163.2709436407856
0.1,1.0,0.001,0.01,0.05,0.3,0.25,165.27012081733616
0.1,1.0,0.001,0.1,0.05,0.3,0.25,167.89509376072536
0.1,1.0,0.01,10.0,0.05,0.3,0.25,176.98013292275505
0.1,1.0,0.01,0.001,0.05,0.3,0.25,175.3369279422556
0.1,1.0,0.01,0.0001,0.05,0.3,0.25,172.85414720059157
0.1,1.0,0.1,1e-05,0.05,0.3,0.25,183.4555340545851
0.1,1.0,0.1,1e-06,0.05,0.3,0.25,181.4161293017509
0.1,1.0,0.1,1.0,0.05,0.3,0.25,201.13567759673614
0.1,1.0,0.1,10.0,0.05,0.3,0.25,192.0776143277341
0.1,1.0,0.1,0.1,0.05,0.3,0.25,195.96592274015842
0.1,1.0,0.1,0.001,0.05,0.3,0.25,188.73537919170892
0.1,1.0,0.1,0.01,0.05,0.3,0.25,192.23056928745387
0.1,1.0,1.0,1e-05,0.05,0.3,0.25,194.9186225711005
0.1,1.0,1.0,10.0,0.05,0.3,0.25,202.78819761031028
0.1,1.0,1.0,1.0,0.05,0.3,0.25,208.13791292797075
0.1,1.0,0.1,0.0001,0.05,0.3,0.25,185.66919341673312
0.1,1.0,10.0,1e-06,0.05,0.3,0.25,232.48878303480245
0.1,1.0,10.0,0.0001,0.05,0.3,0.25,233.35288343595496
0.1,1.0,10.0,1e-05,0.05,0.3,0.25,232.6436074341404
0.1,1.0,1.0,1e-06,0.05,0.3,0.25,194.04248042539083
0.1,1.0,1.0,0.0001,0.05,0.3,0.25,196.10645775020606
0.1,1.0,1.0,0.001,0.05,0.3,0.25,198.05890274019353
0.1,1.0,1.0,0.01,0.05,0.3,0.25,200.34026740785475
0.1,1.0,10.0,0.001,0.05,0.3,0.25,234.4763344546537
0.1,1.0,1.0,0.1,0.05,0.3,0.25,203.11715832591872
0.1,1.0,10.0,10.0,0.05,0.3,0.25,212.14901102740248
0.1,1.0,10.0,0.1,0.05,0.3,0.25,240.79467480399757
0.1,1.0,10.0,0.01,0.05,0.3,0.25,236.55616892724078
0.2,1.0,1e-06,1e-05,0.05,0.3,0.25,168.60388057794756
0.1,1.0,10.0,1.0,0.05,0.3,0.25,256.40563643005635
0.2,1.0,1e-06,1e-06,0.05,0.3,0.25,167.71184063584985
0.2,1.0,1e-06,0.001,0.05,0.3,0.25,170.7729626820463
0.2,1.0,1e-06,0.01,0.05,0.3,0.25,172.15972296696773
0.2,1.0,1e-06,0.0001,0.05,0.3,0.25,169.50261207614787
0.2,1.0,1e-05,0.0001,0.05,0.3,0.25,173.2484217272171
0.2,1.0,1e-05,0.001,0.05,0.3,0.25,174.73184646837382
0.2,1.0,1e-05,0.01,0.05,0.3,0.25,176.3476881539176
0.2,1.0,1e-05,10.0,0.05,0.3,0.25,180.25588447309136
0.2,1.0,1e-06,1.0,0.05,0.3,0.25,178.46841199669143
0.2,1.0,1e-05,1.0,0.05,0.3,0.25,183.1106554755438
0.2,1.0,1e-06,10.0,0.05,0.3,0.25,178.4372809838651
0.2,1.0,1e-05,0.1,0.05,0.3,0.25,178.35270256347144
0.2,1.0,1e-06,0.1,0.05,0.3,0.25,173.89494026985315
0.2,1.0,1e-05,1e-06,0.05,0.3,0.25,171.1806695801656
0.2,1.0,1e-05,1e-05,0.05,0.3,0.25,172.20234221228577
0.2,1.0,0.0001,1e-05,0.05,0.3,0.25,178.34282935042705
0.2,1.0,0.0001,1e-06,0.05,0.3,0.25,177.0752615678077
0.2,1.0,0.0001,0.0001,0.05,0.3,0.25,179.68672381950844
0.2,1.0,0.0001,0.001,0.05,0.3,0.25,181.5731701145402
0.2,1.0,0.0001,1.0,0.05,0.3,0.25,192.68773806543612
0.2,1.0,0.0001,10.0,0.05,0.3,0.25,185.37009001379104
0.2,1.0,0.0001,0.1,0.05,0.3,0.25,186.1141678712222
0.2,1.0,0.001,0.01,0.05,0.3,0.25,193.98297508422527
0.2,1.0,0.001,1e-06,0.05,0.3,0.25,185.32633889769284
0.2,1.0,0.001,0.1,0.05,0.3,0.25,197.2704929585859
0.2,1.0,0.0001,0.01,0.05,0.3,0.25,183.5951942005078
0.2,1.0,0.001,0.0001,0.05,0.3,0.25,188.80607391481885
0.2,1.0,0.001,1e-05,0.05,0.3,0.25,186.99216368689318
0.2,1.0,0.001,10.0,0.05,0.3,0.25,196.15696412151505
0.2,1.0,0.01,0.01,0.05,0.3,0.25,207.4483884633642
0.2,1.0,0.01,1e-05,0.05,0.3,0.25,198.0942169177505
0.2,1.0,0.01,0.1,0.05,0.3,0.25,211.82939306348413
0.2,1.0,0.001,0.001,0.05,0.3,0.25,191.346086798615
0.2,1.0,0.001,1.0,0.05,0.3,0.25,206.90216381401783
0.2,1.0,0.01,0.0001,0.05,0.3,0.25,200.56840780493553
0.2,1.0,0.01,0.001,0.05,0.3,0.25,203.95902876326767
0.2,1.0,0.01,10.0,0.05,0.3,0.25,212.33500652657148
0.2,1.0,0.01,1e-06,0.05,0.3,0.25,195.89357420645445
0.2,1.0,0.01,1.0,0.05,0.3,0.25,224.53463342913102
0.2,1.0,0.1,1e-06,0.05,0.3,0.25,208.43356224991655
0.2,1.0,0.1,1e-05,0.05,0.3,0.25,210.66004698267042
0.2,1.0,0.1,0.001,0.05,0.3,0.25,216.9732879684387
0.2,1.0,0.1,10.0,0.05,0.3,0.25,227.47961817222154
0.2,1.0,0.1,1.0,0.05,0.3,0.25,235.65829269610245
0.2,1.0,1.0,0.001,0.05,0.3,0.25,229.7918648271117
0.2,1.0,1.0,10.0,0.05,0.3,0.25,238.4499048652598
0.2,1.0,0.1,0.0001,0.05,0.3,0.25,213.39495149716907
0.2,1.0,1.0,0.1,0.05,0.3,0.25,239.1281740990351
0.2,1.0,1.0,1e-06,0.05,0.3,0.25,225.55612349393795
0.2,1.0,0.1,0.1,0.05,0.3,0.25,225.84505324251205
0.2,1.0,0.1,0.01,0.05,0.3,0.25,220.8067110871445
0.2,1.0,1.0,0.01,0.05,0.3,0.25,232.70282697652277
0.2,1.0,10.0,1e-05,0.05,0.3,0.25,310.1683315253469
0.2,1.0,1.0,1.0,0.05,0.3,0.25,251.77492835769644
0.2,1.0,10.0,1e-06,0.05,0.3,0.25,309.9010775586469
0.2,1.0,10.0,0.001,0.05,0.3,0.25,314.49863114941274
0.2,1.0,10.0,0.0001,0.05,0.3,0.25,311.70470368766627
0.2,1.0,10.0,0.01,0.05,0.3,0.25,318.7902954472424
0.2,1.0,1.0,1e-05,0.05,0.3,0.25,226.25873244712002
0.2,1.0,1.0,0.0001,0.05,0.3,0.25,227.62577424718236
0.3,1.0,1e-06,1e-05,0.05,0.3,0.25,186.62954564164852
0.2,1.0,10.0,1.0,0.05,0.3,0.25,367.3701630530255
0.3,1.0,1e-06,1e-06,0.05,0.3,0.25,185.39918548678574
0.2,1.0,10.0,0.1,0.05,0.3,0.25,328.11249702360556
0.3,1.0,1e-06,10.0,0.05,0.3,0.25,199.30707301303684
0.3,1.0,1e-06,0.1,0.05,0.3,0.25,193.58760034840088
0.3,1.0,1e-06,0.01,0.05,0.3,0.25,191.51919131311976
0.3,1.0,1e-05,1e-06,0.05,0.3,0.25,188.7614713392072
0.3,1.0,1e-06,0.0001,0.05,0.3,0.25,187.96943482737927
0.3,1.0,1e-05,0.0001,0.05,0.3,0.25,191.64751104931565
0.3,1.0,1e-06,1.0,0.05,0.3,0.25,199.04402390904102
0.3,1.0,1e-06,0.001,0.05,0.3,0.25,189.75424008986874
0.3,1.0,1e-05,1e-05,0.05,0.3,0.25,190.13992417823542
0.3,1.0,1e-05,0.1,0.05,0.3,0.25,198.095096393107
0.3,1.0,1e-05,10.0,0.05,0.3,0.25,201.69197066322118
0.3,1.0,1e-05,1.0,0.05,0.3,0.25,204.60208052328534
0.3,1.0,1e-05,0.01,0.05,0.3,0.25,195.66008885618433
0.3,1.0,1e-05,0.001,0.05,0.3,0.25,193.65179308234684
0.3,1.0,0.0001,1e-05,0.05,0.3,0.25,196.24610180087538
0.2,1.0,10.0,10.0,0.05,0.3,0.25,263.20205475696633
0.3,1.0,0.0001,1e-06,0.05,0.3,0.25,194.60218049288045
0.3,1.0,0.0001,0.001,0.05,0.3,0.25,200.53188959347494
0.3,1.0,0.0001,0.0001,0.05,0.3,0.25,198.09303364535597
0.3,1.0,0.0001,1.0,0.05,0.3,0.25,215.5356792679605
0.3,1.0,0.0001,0.01,0.05,0.3,0.25,202.96355198248767
0.3,1.0,0.0001,10.0,0.05,0.3,0.25,208.02154531218247
0.3,1.0,0.001,1e-05,0.05,0.3,0.25,204.98760756559838
0.3,1.0,0.0001,0.1,0.05,0.3,0.25,206.08954677218583
0.3,1.0,0.001,0.0001,0.05,0.3,0.25,207.35216823149983
0.3,1.0,0.001,0.1,0.05,0.3,0.25,217.80033877237344
0.3,1.0,0.001,0.001,0.05,0.3,0.25,210.4658078916361
0.3,1.0,0.001,10.0,0.05,0.3,0.25,219.92541512857454
0.3,1.0,0.001,1e-06,0.05,0.3,0.25,202.93339891170814
0.3,1.0,0.001,0.01,0.05,0.3,0.25,213.5498369004182
0.3,1.0,0.001,1.0,0.05,0.3,0.25,231.054462343188
0.3,1.0,0.01,1.0,0.05,0.3,0.25,249.16773070908772
0.3,1.0,0.01,0.01,0.05,0.3,0.25,227.30666344150313
0.3,1.0,0.01,10.0,0.05,0.3,0.25,236.38064229315395
0.3,1.0,0.01,0.0001,0.05,0.3,0.25,219.4397459194377
0.3,1.0,0.01,0.001,0.05,0.3,0.25,223.34543153635042
0.3,1.0,0.1,1e-05,0.05,0.3,0.25,229.64596433859765
0.3,1.0,0.01,1e-05,0.05,0.3,0.25,216.4256022400357
0.3,1.0,0.01,1e-06,0.05,0.3,0.25,213.88409696601943
0.3,1.0,0.1,1e-06,0.05,0.3,0.25,227.41773445147848
0.3,1.0,0.1,0.01,0.05,0.3,0.25,240.7504276039383
0.3,1.0,0.1,0.001,0.05,0.3,0.25,236.48660894105063
0.3,1.0,0.01,0.1,0.05,0.3,0.25,233.00698519199864
0.3,1.0,0.1,1.0,0.05,0.3,0.25,262.6867534872109
0.3,1.0,0.1,0.0001,0.05,0.3,0.25,232.6030398762889
0.3,1.0,1.0,1e-05,0.05,0.3,0.25,250.52959525267235
0.3,1.0,1.0,0.0001,0.05,0.3,0.25,252.02313784170659
0.3,1.0,1.0,0.1,0.05,0.3,0.25,269.97822275942883
0.3,1.0,1.0,0.001,0.05,0.3,0.25,254.52067234322803
0.3,1.0,1.0,0.01,0.05,0.3,0.25,258.61219786439017
0.3,1.0,0.1,0.1,0.05,0.3,0.25,247.69175318203526
0.3,1.0,1.0,1.0,0.05,0.3,0.25,297.4510651806786
0.3,1.0,10.0,0.0001,0.05,0.3,0.25,371.41136268361316
0.3,1.0,10.0,0.01,0.05,0.3,0.25,381.73760619294416
0.3,1.0,0.1,10.0,0.05,0.3,0.25,252.72199748362027
0.3,1.0,1.0,1e-06,0.05,0.3,0.25,249.9101097021985
0.3,1.0,10.0,0.1,0.05,0.3,0.25,394.84176519006513
0.3,1.0,10.0,1e-06,0.05,0.3,0.25,369.567255319661
0.3,1.0,10.0,1e-05,0.05,0.3,0.25,369.8734409595965
0.4,1.0,1e-06,1e-06,0.05,0.3,0.25,199.0904405641587
0.4,1.0,1e-06,0.01,0.05,0.3,0.25,206.52214050964724
0.4,1.0,1e-06,1.0,0.05,0.3,0.25,216.0745507999782
0.3,1.0,10.0,1.0,0.05,0.3,0.25,442.32425046331264
0.4,1.0,1e-06,0.1,0.05,0.3,0.25,209.0443764363699
