Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.1,1.0,1e-05,10.0,0.05,0.3,0.25,150.49712397986812
0.1,1.0,1e-06,10.0,0.05,0.3,0.25,149.18171297819055
0.1,1.0,1e-05,0.1,0.05,0.3,0.25,149.1544292425344
0.1,1.0,1e-06,1e-05,0.05,0.3,0.25,141.65589906675606
0.1,1.0,1e-05,1e-05,0.05,0.3,0.25,145.4880130351821
0.1,1.0,1e-06,0.0001,0.05,0.3,0.25,142.04426972681796
0.1,1.0,1e-05,0.01,0.05,0.3,0.25,147.71571041651924
0.1,1.0,1e-06,0.01,0.05,0.3,0.25,143.3801209409036
0.1,1.0,1e-06,0.1,0.05,0.3,0.25,144.7040127878442
0.1,1.0,1e-06,1.0,0.05,0.3,0.25,148.97174355019865
0.1,1.0,1e-06,1e-06,0.05,0.3,0.25,141.20775495748677
0.1,1.0,1e-05,1e-06,0.05,0.3,0.25,144.9401729421327
0.1,1.0,1e-05,0.001,0.05,0.3,0.25,146.68763791513365
0.1,1.0,1e-06,0.001,0.05,0.3,0.25,142.58206737155464
0.1,1.0,1e-05,0.0001,0.05,0.3,0.25,145.9814130324244
0.1,1.0,1e-05,1.0,0.05,0.3,0.25,152.7675050075981
0.1,1.0,0.0001,1e-05,0.05,0.3,0.25,151.77402570959615
0.1,1.0,0.0001,10.0,0.05,0.3,0.25,154.42704559489593
0.1,1.0,0.0001,1e-06,0.05,0.3,0.25,151.04484716779697
0.1,1.0,0.0001,0.0001,0.05,0.3,0.25,152.47569414669408
0.1,1.0,0.0001,1.0,0.05,0.3,0.25,161.2258938207201
0.1,1.0,0.0001,0.01,0.05,0.3,0.25,154.92538741547463
0.1,1.0,0.0001,0.001,0.05,0.3,0.25,153.5152431405863
0.1,1.0,0.0001,0.1,0.05,0.3,0.25,156.81404819308426
0.1,1.0,0.001,1e-06,0.05,0.3,0.25,159.32149177550508
0.1,1.0,0.001,0.01,0.05,0.3,0.25,165.10482288999086
0.1,1.0,0.001,10.0,0.05,0.3,0.25,163.45906891631557
0.1,1.0,0.001,0.0001,0.05,0.3,0.25,161.49218759485044
0.1,1.0,0.001,1.0,0.05,0.3,0.25,174.2362587565647
0.1,1.0,0.001,1e-05,0.05,0.3,0.25,160.40579161445638
0.1,1.0,0.001,0.001,0.05,0.3,0.25,163.1028933488852
0.1,1.0,0.01,1e-06,0.05,0.3,0.25,169.42769000839854
0.1,1.0,0.001,0.1,0.05,0.3,0.25,167.7168792569149
0.1,1.0,0.01,1e-05,0.05,0.3,0.25,171.0652572636992
0.1,1.0,0.01,10.0,0.05,0.3,0.25,176.7172704065099
0.1,1.0,0.01,0.1,0.05,0.3,0.25,181.78247691487277
0.1,1.0,0.01,0.01,0.05,0.3,0.25,178.18352806499576
0.1,1.0,0.01,0.001,0.05,0.3,0.25,175.2119781006352
0.1,1.0,0.01,1.0,0.05,0.3,0.25,189.93070554022202
0.1,1.0,0.01,0.0001,0.05,0.3,0.25,172.73238973144683
0.1,1.0,0.1,1e-06,0.05,0.3,0.25,181.40620459118293
0.1,1.0,0.1,0.0001,0.05,0.3,0.25,185.63958025820742
0.1,1.0,0.1,10.0,0.05,0.3,0.25,191.88612703462687
0.1,1.0,1.0,0.001,0.05,0.3,0.25,198.22073541250757
0.1,1.0,1.0,0.0001,0.05,0.3,0.25,196.26210771730425
0.1,1.0,1.0,1e-05,0.05,0.3,0.25,195.040363104986
0.1,1.0,0.1,0.001,0.05,0.3,0.25,188.68595578769748
0.1,1.0,1.0,0.01,0.05,0.3,0.25,200.5142106340029
0.1,1.0,1.0,1.0,0.05,0.3,0.25,208.23109841515048
0.1,1.0,0.1,1.0,0.05,0.3,0.25,201.07898658969867
0.1,1.0,0.1,1e-05,0.05,0.3,0.25,183.43719067988025
0.1,1.0,1.0,0.1,0.05,0.3,0.25,203.29305356813202
0.1,1.0,1.0,10.0,0.05,0.3,0.25,202.72965621589685
0.1,1.0,0.1,0.1,0.05,0.3,0.25,195.90475064446693
0.1,1.0,0.1,0.01,0.05,0.3,0.25,192.17796561250003
0.1,1.0,1.0,1e-06,0.05,0.3,0.25,194.16153554847529
0.2,1.0,1e-06,0.001,0.05,0.3,0.25,170.5374957313306
0.2,1.0,1e-06,0.01,0.05,0.3,0.25,171.92705062461098
0.1,1.0,10.0,1e-06,0.05,0.3,0.25,232.66954692927197
0.1,1.0,10.0,10.0,0.05,0.3,0.25,212.25814880181903
0.1,1.0,10.0,1e-05,0.05,0.3,0.25,232.83192042831388
0.1,1.0,10.0,0.001,0.05,0.3,0.25,234.68160459544666
0.1,1.0,10.0,0.1,0.05,0.3,0.25,240.85475093853924
0.1,1.0,10.0,0.01,0.05,0.3,0.25,236.7755280384373
0.2,1.0,1e-06,1e-05,0.05,0.3,0.25,168.37081400615375
0.1,1.0,10.0,0.0001,0.05,0.3,0.25,233.54916086492548
0.2,1.0,1e-06,0.0001,0.05,0.3,0.25,169.26748090846584
0.2,1.0,1e-06,1e-06,0.05,0.3,0.25,167.48277934364543
0.2,1.0,1e-06,1.0,0.05,0.3,0.25,178.1067378774702
0.2,1.0,1e-06,0.1,0.05,0.3,0.25,173.65150881835768
0.1,1.0,10.0,1.0,0.05,0.3,0.25,256.87606230214084
0.2,1.0,1e-06,10.0,0.05,0.3,0.25,178.058050816793
0.2,1.0,1e-05,1e-06,0.05,0.3,0.25,170.95255157957155
0.2,1.0,1e-05,1.0,0.05,0.3,0.25,182.74953423560183
0.2,1.0,1e-05,1e-05,0.05,0.3,0.25,171.9716193704077
0.2,1.0,1e-05,0.0001,0.05,0.3,0.25,173.01457950507867
0.2,1.0,1e-05,10.0,0.05,0.3,0.25,179.8724721758762
0.2,1.0,1e-05,0.1,0.05,0.3,0.25,178.10360921538526
0.2,1.0,1e-05,0.001,0.05,0.3,0.25,174.4961209038507
0.2,1.0,1e-05,0.01,0.05,0.3,0.25,176.1140389504882
0.2,1.0,0.0001,1e-05,0.05,0.3,0.25,178.1151311724485
0.2,1.0,0.0001,0.001,0.05,0.3,0.25,181.33884950400213
0.2,1.0,0.0001,1.0,0.05,0.3,0.25,192.33647051256412
0.2,1.0,0.0001,0.0001,0.05,0.3,0.25,179.45450842365122
0.2,1.0,0.0001,1e-06,0.05,0.3,0.25,176.8516260075849
0.2,1.0,0.0001,0.01,0.05,0.3,0.25,183.36183682058078
0.2,1.0,0.0001,0.1,0.05,0.3,0.25,185.8637380806215
0.2,1.0,0.001,0.1,0.05,0.3,0.25,197.0372269406532
0.2,1.0,0.001,1e-06,0.05,0.3,0.25,185.1291921154234
0.2,1.0,0.0001,10.0,0.05,0.3,0.25,184.97713037798275
0.2,1.0,0.001,0.001,0.05,0.3,0.25,191.13389675840588
0.2,1.0,0.001,1e-05,0.05,0.3,0.25,186.7913192131256
0.2,1.0,0.001,0.0001,0.05,0.3,0.25,188.5959604588408
0.2,1.0,0.001,1.0,0.05,0.3,0.25,206.58527454208885
0.2,1.0,0.001,10.0,0.05,0.3,0.25,195.74534619180605
0.2,1.0,0.001,0.01,0.05,0.3,0.25,193.7692786010166
0.2,1.0,0.01,1e-06,0.05,0.3,0.25,195.74454961250598
0.2,1.0,0.01,1e-05,0.05,0.3,0.25,197.93886161487293
0.2,1.0,0.01,0.001,0.05,0.3,0.25,203.80297741323767
0.2,1.0,0.01,10.0,0.05,0.3,0.25,211.99222704444125
0.2,1.0,0.1,1.0,0.05,0.3,0.25,235.58676044906122
0.2,1.0,0.1,0.01,0.05,0.3,0.25,220.77003824043692
0.2,1.0,0.1,0.001,0.05,0.3,0.25,216.95279232007792
0.2,1.0,0.01,0.0001,0.05,0.3,0.25,200.42477098505177
0.2,1.0,0.1,1e-06,0.05,0.3,0.25,208.42898912779725
0.2,1.0,0.01,1.0,0.05,0.3,0.25,224.30938474805006
0.2,1.0,0.01,0.01,0.05,0.3,0.25,207.28314734581966
0.2,1.0,0.1,0.1,0.05,0.3,0.25,225.7999521991866
0.2,1.0,0.1,0.0001,0.05,0.3,0.25,213.38930941727207
0.2,1.0,0.01,0.1,0.05,0.3,0.25,211.63662222502708
0.2,1.0,1.0,1e-06,0.05,0.3,0.25,225.72021789055697
0.2,1.0,0.1,10.0,0.05,0.3,0.25,227.2636682227382
0.2,1.0,1.0,1e-05,0.05,0.3,0.25,226.42934622267427
0.2,1.0,0.1,1e-05,0.05,0.3,0.25,210.65933405924008
0.2,1.0,1.0,0.0001,0.05,0.3,0.25,227.80351119255744
0.2,1.0,1.0,0.001,0.05,0.3,0.25,229.973855341424
0.2,1.0,1.0,0.01,0.05,0.3,0.25,232.90394837601588
0.2,1.0,1.0,0.1,0.05,0.3,0.25,239.33661558261932
0.2,1.0,1.0,1.0,0.05,0.3,0.25,251.99616938843783
0.2,1.0,10.0,1e-06,0.05,0.3,0.25,309.8046178640391
0.3,1.0,1e-06,1e-06,0.05,0.3,0.25,185.1452254817683
0.2,1.0,1.0,10.0,0.05,0.3,0.25,238.40976458054922
0.2,1.0,10.0,1.0,0.05,0.3,0.25,367.6068614817067
0.2,1.0,10.0,0.01,0.05,0.3,0.25,318.7008755323273
0.3,1.0,1e-06,0.0001,0.05,0.3,0.25,187.70790017827608
0.3,1.0,1e-06,0.001,0.05,0.3,0.25,189.4918119260335
0.3,1.0,1e-06,0.01,0.05,0.3,0.25,191.26073995539969
0.3,1.0,1e-06,1e-05,0.05,0.3,0.25,186.3709715392404
0.3,1.0,1e-06,1.0,0.05,0.3,0.25,198.60959274158503
0.2,1.0,10.0,0.001,0.05,0.3,0.25,314.18508111184553
0.3,1.0,1e-06,0.1,0.05,0.3,0.25,193.31712836968347
0.3,1.0,1e-06,10.0,0.05,0.3,0.25,198.8401350679431
0.2,1.0,10.0,1e-05,0.05,0.3,0.25,310.0762974685586
0.2,1.0,10.0,0.0001,0.05,0.3,0.25,311.3646670480929
0.3,1.0,1e-05,1e-06,0.05,0.3,0.25,188.50776118540463
0.3,1.0,1e-05,0.0001,0.05,0.3,0.25,191.38631436667677
0.3,1.0,1e-05,1e-05,0.05,0.3,0.25,189.88262523521306
0.2,1.0,10.0,0.1,0.05,0.3,0.25,327.92467456504426
0.3,1.0,1e-05,0.01,0.05,0.3,0.25,195.39939208247077
0.3,1.0,1e-05,0.001,0.05,0.3,0.25,193.38900182326577
0.2,1.0,10.0,10.0,0.05,0.3,0.25,263.5064785104053
0.3,1.0,1e-05,1.0,0.05,0.3,0.25,204.14987941303727
0.3,1.0,1e-05,0.1,0.05,0.3,0.25,197.81385759923188
0.3,1.0,0.0001,0.0001,0.05,0.3,0.25,197.8327003379026
0.3,1.0,0.0001,1e-06,0.05,0.3,0.25,194.35205864683644
0.3,1.0,0.0001,0.001,0.05,0.3,0.25,200.26872238957708
0.3,1.0,0.0001,10.0,0.05,0.3,0.25,207.55430310398106
0.3,1.0,1e-05,10.0,0.05,0.3,0.25,201.22398683214982
0.3,1.0,0.0001,1.0,0.05,0.3,0.25,215.0956728755734
0.3,1.0,0.001,1e-06,0.05,0.3,0.25,202.71022898548628
0.3,1.0,0.0001,1e-05,0.05,0.3,0.25,195.99144976675913
0.3,1.0,0.001,0.001,0.05,0.3,0.25,210.22111776118913
0.3,1.0,0.0001,0.01,0.05,0.3,0.25,202.7005964655038
0.3,1.0,0.0001,0.1,0.05,0.3,0.25,205.80323257544367
0.3,1.0,0.001,0.1,0.05,0.3,0.25,217.52950890509896
0.3,1.0,0.001,0.0001,0.05,0.3,0.25,207.11422426098727
0.3,1.0,0.001,10.0,0.05,0.3,0.25,219.47821780775868
0.3,1.0,0.001,1.0,0.05,0.3,0.25,230.6869527707799
0.3,1.0,0.001,1e-05,0.05,0.3,0.25,204.760343695813
0.3,1.0,0.001,0.01,0.05,0.3,0.25,213.30368967414478
0.3,1.0,0.01,1e-05,0.05,0.3,0.25,216.27656706900441
0.3,1.0,0.01,1e-06,0.05,0.3,0.25,213.741807311992
0.3,1.0,0.01,0.0001,0.05,0.3,0.25,219.28408875986273
0.3,1.0,0.01,0.01,0.05,0.3,0.25,227.11892625594183
0.3,1.0,0.01,0.1,0.05,0.3,0.25,232.79675081515043
0.3,1.0,0.01,10.0,0.05,0.3,0.25,235.9873943503619
0.3,1.0,0.01,1.0,0.05,0.3,0.25,248.9021048662401
0.3,1.0,0.1,0.001,0.05,0.3,0.25,236.4911272277542
0.3,1.0,0.1,0.01,0.05,0.3,0.25,240.7829633234028
0.3,1.0,0.01,0.001,0.05,0.3,0.25,223.15715662108232
0.3,1.0,0.1,0.0001,0.05,0.3,0.25,232.60710404677715
0.3,1.0,0.1,0.1,0.05,0.3,0.25,247.67498413321493
0.3,1.0,1.0,0.0001,0.05,0.3,0.25,252.26752810462878
0.3,1.0,1.0,1e-05,0.05,0.3,0.25,250.76471515670272
0.3,1.0,0.1,1e-05,0.05,0.3,0.25,229.63731023037337
0.3,1.0,0.1,1e-06,0.05,0.3,0.25,227.39695507481557
0.3,1.0,1.0,0.001,0.05,0.3,0.25,254.7655100578759
0.3,1.0,1.0,1e-06,0.05,0.3,0.25,250.13764107940403
0.3,1.0,1.0,0.1,0.05,0.3,0.25,270.20935870435784
0.3,1.0,1.0,0.01,0.05,0.3,0.25,258.8773193086629
0.3,1.0,0.1,10.0,0.05,0.3,0.25,252.44979094361992
0.3,1.0,0.1,1.0,0.05,0.3,0.25,262.5562407645611
0.3,1.0,10.0,1e-06,0.05,0.3,0.25,369.08473007689344
0.3,1.0,10.0,0.0001,0.05,0.3,0.25,370.8764027620709
0.3,1.0,1.0,10.0,0.05,0.3,0.25,267.2457384847772
0.3,1.0,10.0,0.01,0.05,0.3,0.25,381.31479517764546
0.3,1.0,1.0,1.0,0.05,0.3,0.25,297.81494089465093
0.4,1.0,1e-06,1e-06,0.05,0.3,0.25,198.81629933671067
0.4,1.0,1e-06,1e-05,0.05,0.3,0.25,200.30988868442702
0.3,1.0,10.0,0.001,0.05,0.3,0.25,374.57620232296676
0.4,1.0,1e-06,0.01,0.05,0.3,0.25,206.24402769598
0.4,1.0,1e-06,0.001,0.05,0.3,0.25,204.17309279840987
0.4,1.0,1e-06,0.0001,0.05,0.3,0.25,202.01467863481162
0.4,1.0,1e-06,1.0,0.05,0.3,0.25,215.61378979365776
0.3,1.0,10.0,0.1,0.05,0.3,0.25,394.3479632400093
0.4,1.0,1e-06,0.1,0.05,0.3,0.25,208.7482641637608
0.4,1.0,1e-06,10.0,0.05,0.3,0.25,215.57207850972225
0.3,1.0,10.0,1e-05,0.05,0.3,0.25,369.51038023577576
0.4,1.0,1e-05,0.0001,0.05,0.3,0.25,205.6790973228663
0.4,1.0,1e-05,1e-05,0.05,0.3,0.25,203.7931879182202
0.4,1.0,1e-05,1e-06,0.05,0.3,0.25,202.14048789481498
0.4,1.0,1e-05,0.01,0.05,0.3,0.25,210.38787248866095
0.4,1.0,1e-05,10.0,0.05,0.3,0.25,218.1592390269103
0.4,1.0,1e-05,1.0,0.05,0.3,0.25,221.52952488792099
0.4,1.0,0.0001,1e-06,0.05,0.3,0.25,208.0064712278166
0.4,1.0,0.0001,1e-05,0.05,0.3,0.25,209.94589126852702
0.4,1.0,1e-05,0.1,0.05,0.3,0.25,213.37152648376863
0.4,1.0,0.0001,0.0001,0.05,0.3,0.25,212.1954015742748
0.3,1.0,10.0,10.0,0.05,0.3,0.25,324.7379812778839
0.4,1.0,1e-05,0.001,0.05,0.3,0.25,208.05931725495424
0.4,1.0,0.0001,0.01,0.05,0.3,0.25,217.81888965869248
0.3,1.0,10.0,1.0,0.05,0.3,0.25,442.73546060754785
0.4,1.0,0.0001,10.0,0.05,0.3,0.25,224.94707092120888
0.4,1.0,0.001,1e-06,0.05,0.3,0.25,216.50402645635475
0.4,1.0,0.0001,0.001,0.05,0.3,0.25,215.01636212233174
0.4,1.0,0.001,0.0001,0.05,0.3,0.25,221.6494306761767
0.4,1.0,0.001,0.01,0.05,0.3,0.25,228.69173572851332
0.4,1.0,0.001,1e-05,0.05,0.3,0.25,218.85711601864395
0.4,1.0,0.0001,1.0,0.05,0.3,0.25,233.24556077312798
0.4,1.0,0.001,0.001,0.05,0.3,0.25,225.1488949672458
0.4,1.0,0.0001,0.1,0.05,0.3,0.25,221.6849406069611
0.4,1.0,0.001,0.1,0.05,0.3,0.25,233.94107742698412
0.4,1.0,0.001,10.0,0.05,0.3,0.25,237.75019012888396
0.4,1.0,0.01,0.0001,0.05,0.3,0.25,234.0988370133656
0.4,1.0,0.001,1.0,0.05,0.3,0.25,249.89192941585392
0.4,1.0,0.01,0.01,0.05,0.3,0.25,242.79779075458018
0.4,1.0,0.01,0.1,0.05,0.3,0.25,249.86541720605743
0.4,1.0,0.01,1e-06,0.05,0.3,0.25,227.93897528599933
0.4,1.0,0.01,1e-05,0.05,0.3,0.25,230.68817296697603
0.4,1.0,0.1,1e-05,0.05,0.3,0.25,244.86083109302749
0.4,1.0,0.01,10.0,0.05,0.3,0.25,255.74076622452512
0.4,1.0,0.1,1e-06,0.05,0.3,0.25,242.63215742672813
0.4,1.0,0.1,0.001,0.05,0.3,0.25,252.11496576539187
0.4,1.0,0.01,0.001,0.05,0.3,0.25,238.33773028179886
0.4,1.0,0.1,0.0001,0.05,0.3,0.25,248.02156064436136
0.4,1.0,0.1,1.0,0.05,0.3,0.25,286.56948625105963
0.4,1.0,0.1,0.1,0.05,0.3,0.25,266.1907119788263
0.4,1.0,0.01,1.0,0.05,0.3,0.25,269.68535049845605
0.4,1.0,0.1,10.0,0.05,0.3,0.25,273.20961260068606
0.4,1.0,1.0,1e-06,0.05,0.3,0.25,272.2537218929314
