Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_1,1337.6999684531972,M5,6371000.0,5.972e+24,511372.67913003766,5.714974511357954e-06,2.1843944107250376e-05,0.05,0.6666,True,0.77,False,0.55,True,True,376.69,Success
run_4,1900.227433613328,M5,6371000.0,5.972e+24,22278.947812426173,0.0095450217902281,0.0431468879696218,0.05,0.6666,True,0.77,False,0.55,True,True,428.401,Success
run_5,1110.2756315781444,M5,6371000.0,5.972e+24,556730.0473806601,0.000187031835124,0.0124775454778427,0.05,0.6666,True,0.77,False,0.55,True,True,484.552,Success
run_3,1396.3569316590672,M5,6371000.0,5.972e+24,279286.8130574846,0.9482528282925012,0.1748648380600152,0.05,0.6666,True,0.77,False,0.55,True,True,534.145,Success
run_0,2022.5822804847176,M5,6371000.0,5.972e+24,151693.1842663754,0.0002388645616932,0.799748589750081,0.05,0.6666,True,0.77,False,0.55,True,True,578.987,Success
run_9,1795.0787051220027,M5,6371000.0,5.972e+24,904599.0216465018,0.0874801348353254,0.0266653043776482,0.05,0.6666,True,0.77,False,0.55,True,True,560.247,Success
run_6,1127.2305489741111,M5,6371000.0,5.972e+24,13737.847753342416,0.5556680131801671,1.0023217432795988e-05,0.05,0.6666,True,0.77,False,0.55,True,True,352.928,Success
run_7,867.9691175268946,M5,6371000.0,5.972e+24,130253.7253646396,0.0003990015053181,5.023620529600407e-06,0.05,0.6666,True,0.77,False,0.55,True,True,328.023,Success
run_2,482.520366914893,M5,6371000.0,5.972e+24,337372.06462129543,4.151751327897201e-06,0.2679052562830382,0.05,0.6666,True,0.77,False,0.55,True,True,356.781,Success
run_15,1747.912837642968,M5,6371000.0,5.972e+24,676178.0808264056,1.0277446242234706e-06,0.000138741532579,0.05,0.6666,True,0.77,False,0.55,True,True,412.54,Success
run_13,1633.978518897905,M5,6371000.0,5.972e+24,162332.04118506834,0.004068628467823,0.0141554808414467,0.05,0.6666,True,0.77,False,0.55,True,True,477.856,Success
run_8,1306.6381870086389,M5,6371000.0,5.972e+24,10892.035503794858,0.0007284982037884,0.0001438601274328,0.05,0.6666,True,0.77,False,0.55,True,True,355.575,Success
run_16,390.1695572183076,M5,6371000.0,5.972e+24,173734.4314784369,0.000130023703274,0.0015343194429413,0.05,0.6666,True,0.77,False,0.55,True,True,288.814,Success
run_10,1942.8988160747715,M5,6371000.0,5.972e+24,78246.52596913015,0.0009928116376065,1.279540846180113e-06,0.05,0.6666,True,0.77,False,0.55,True,True,397.678,Success
run_12,1393.2054481617308,M5,6371000.0,5.972e+24,10410.278116816236,4.6846909101434416e-05,0.0002061537647252,0.05,0.6666,True,0.77,False,0.55,True,True,360.626,Success
run_11,1221.2225672984866,M5,6371000.0,5.972e+24,57975.73021234697,0.2193787360603527,1.0547476791920426e-06,0.05,0.6666,True,0.77,False,0.55,True,True,366.919,Success
run_17,1343.420254587385,M5,6371000.0,5.972e+24,99085.83953019023,1.5199471889346815e-06,0.0479613763625446,0.05,0.6666,True,0.77,False,0.55,True,True,410.624,Success
run_19,2033.0891909065049,M5,6371000.0,5.972e+24,275242.44942960696,0.0004198169259946,0.0021124841968691,0.05,0.6666,True,0.77,False,0.55,True,True,470.09,Success
