# Generated by make_continental_compositions.jl -- do not edit by hand.
# Stage 2: hydrous partial melting of the stage-1 oceanic crust (TTG model).
# isobaric 15.0 kbar, H2O=3.0 wt%, F_TARGET=0.20, batch melting
# Melt is the continental crust; the residue is discarded.
mg_si,delta_iw,T_melt2,melt_fraction2,residual_phases2,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O
0.5,-5,846,0.20028,amp;spl;cpx;q;ru,73.2303,1.47832,13.1719,0.00523547,0.116018,4.3999,3.66448,3.21179,0.722049
0.5,-4.5,846,0.199469,cpx;spl;amp;q;ru,73.1777,1.47173,13.1863,0.00497057,0.202477,4.34276,3.64297,3.2412,0.729918
0.5,-4,846,0.199957,cpx;amp;spl;q;ru,73.1133,1.4739,13.1292,0.00460623,0.357297,4.35277,3.64396,3.21228,0.712646
0.5,-3.5,845,0.200043,amp;spl;cpx;q;ru,72.9719,1.46398,13.1227,0.00401069,0.612717,4.23835,3.57831,3.27765,0.730417
0.5,-3,843,0.200037,g;amp;cpx;q;ru,72.7948,1.45577,13.0528,0.00275424,1.01028,4.15479,3.5541,3.28189,0.692822
0.5,-2.9,843,0.199744,amp;g;cpx;q;ru,72.7492,1.44828,13.0736,0.00205679,1.09414,4.08246,3.52972,3.33112,0.689473
0.5,-2.8,842,0.200189,g;cpx;amp;q;ru,72.7043,1.43415,13.1238,0.00150861,1.16288,3.95427,3.45013,3.44946,0.719575
0.5,-2.7,840,0.199807,g;amp;cpx;q;ru,72.6793,1.4206,13.1598,0.00101069,1.22591,3.86371,3.4153,3.51886,0.715436
0.5,-2.6,839,0.200112,g;amp;cpx;q;ru,72.6813,1.40523,13.1912,0.000675559,1.27291,3.77177,3.36499,3.61209,0.699798
0.5,-2.5,836,0.199904,g;amp;cpx;q;ru,72.6658,1.37813,13.2928,0.00048239,1.29522,3.59243,3.25901,3.79639,0.719746
0.5,-2.4,834,0.200117,cpx;amp;g;q;ru,72.6839,1.35619,13.351,0.000345433,1.31432,3.47525,3.19219,3.92682,0.699966
0.5,-2.3,831,0.199745,g;cpx;amp;q;ru,72.6799,1.32439,13.4672,0.000254907,1.31874,3.28958,3.08092,4.13045,0.708532
0.5,-2.2,828,0.199827,g;amp;cpx;q;ru,72.6794,1.29242,13.5831,0.000195724,1.31701,3.10953,2.9641,4.34524,0.709025
0.5,-2.1,825,0.20056,cpx;g;amp;q;ru,72.6763,1.26152,13.6953,0.000149987,1.31119,2.94253,2.85102,4.55157,0.710431
0.5,-2,820,0.199599,g;cpx;amp;q;ru,72.6277,1.21713,13.8972,0.000117116,1.28429,2.69503,2.69609,4.84717,0.735317
0.5,-1.9,816,0.200271,amp;g;cpx;q;ru,72.6689,1.18349,13.9628,9.18727e-05,1.28165,2.56154,2.56852,5.04413,0.728852
0.5,-1.8,811,0.20021,amp;cpx;g;q;ru,72.781,1.14709,13.9539,7.18137e-05,1.29524,2.46126,2.41907,5.21597,0.726379
0.5,-1.7,807,0.200554,amp;cpx;g;q;ru,72.9102,1.1128,13.9148,5.57305e-05,1.31716,2.37997,2.27053,5.36462,0.729896
0.5,-1.6,801,0.1994,g;cpx;amp;q;ru,73.09,1.07685,13.8289,4.60293e-05,1.35547,2.3102,2.11563,5.49761,0.725278
0.5,-1.5,798,0.199734,cpx;g;opx;q;ru,73.3857,1.05811,13.5535,3.8259e-05,1.46627,2.33225,1.97332,5.5089,0.721971
0.5,-1.4,804,0.200134,cpx;g;opx;q;ru,73.7455,1.09213,13.0776,3.80767e-05,1.75102,2.3589,1.95116,5.32566,0.697998
0.5,-1.3,809,0.200028,g;cpx;opx;q;ru,74.1187,1.1294,12.5406,3.86378e-05,2.11665,2.37271,1.93916,5.10024,0.682459
0.5,-1.2,820,0.20036,cpx;g;opx;q;ru,74.6661,1.20295,11.5523,4.34756e-05,3.03006,2.25062,1.90589,4.74101,0.6511
0.5,-1.1,829,0.199953,cpx;g;ilm;opx;q,75.1411,1.13343,10.6333,5.2088e-05,4.06381,2.14225,1.95614,4.3199,0.610098
0.5,-1,900,0.200107,cpx;ilm;g;cpx,66.2078,1.49149,11.1204,0.000139073,10.5962,3.00155,3.23427,3.79329,0.554869
0.55,-5,846,0.200193,amp;spl;cpx;q;ru,73.2502,1.46614,13.2187,0.00525573,0.10601,4.28724,3.56704,3.36059,0.738836
0.55,-4.5,846,0.199412,amp;spl;cpx;q;ru,73.1974,1.45942,13.2376,0.00500132,0.186098,4.22897,3.54534,3.39217,0.748068
0.55,-4,846,0.199848,amp;spl;cpx;q;ru,73.138,1.46123,13.1884,0.00465999,0.326777,4.23475,3.54581,3.36981,0.730514
0.55,-3.5,845,0.199608,amp;spl;cpx;q;ru,73.016,1.45667,13.1507,0.00408431,0.569109,4.18302,3.52454,3.37273,0.723178
0.55,-3,843,0.199354,g;spl;cpx;amp;q;ru,72.8159,1.44231,13.1365,0.00333059,0.946617,4.03335,3.45268,3.44943,0.719854
0.55,-2.9,843,0.200338,amp;cpx;g;q;ru,72.78,1.43982,13.1236,0.00261783,1.03318,3.99554,3.42644,3.48087,0.717923
0.55,-2.8,843,0.20015,g;cpx;amp;q;ru,72.7356,1.43257,13.1402,0.00191872,1.11671,3.92943,3.40323,3.52512,0.715278
0.55,-2.7,842,0.200458,g;cpx;amp;q;ru,72.7008,1.42497,13.1557,0.00131735,1.19174,3.86535,3.37748,3.57436,0.708236
0.55,-2.6,840,0.200258,amp;cpx;g;q;ru,72.6862,1.41072,13.1886,0.000864158,1.25059,3.77556,3.33659,3.65354,0.697382
0.55,-2.5,838,0.199683,amp;g;cpx;q;ru,72.6583,1.38417,13.2932,0.000599058,1.28032,3.59598,3.23607,3.83019,0.721219
0.55,-2.4,836,0.199687,g;amp;cpx;q;ru,72.6711,1.36258,13.3485,0.000409975,1.30582,3.48146,3.17189,3.95268,0.705554
0.55,-2.3,833,0.200473,cpx;amp;g;q;ru,72.6585,1.33535,13.4546,0.000298762,1.3139,3.31103,3.06275,4.14902,0.71459
0.55,-2.2,830,0.200336,g;amp;cpx;q;ru,72.6476,1.30377,13.5775,0.000218582,1.31356,3.1294,2.95294,4.35763,0.717403
0.55,-2.1,826,0.199628,g;cpx;amp;q;ru,72.6308,1.26713,13.7219,0.000168186,1.30292,2.93099,2.83259,4.58457,0.728881
0.55,-2,822,0.199511,amp;g;cpx;q;ru,72.7148,1.23348,13.7421,0.000128313,1.31453,2.81681,2.7048,4.75527,0.718015
0.55,-1.9,818,0.20014,g;cpx;amp;q;ru,72.7545,1.19841,13.8088,0.000100257,1.31392,2.67355,2.56363,4.95798,0.729147
0.55,-1.8,814,0.199889,amp;g;cpx;q;ru,72.8488,1.16136,13.8202,7.79849e-05,1.32549,2.55996,2.4184,5.13509,0.730596
0.55,-1.7,809,0.199993,amp;g;cpx;q;ru,72.9702,1.12719,13.7942,6.19641e-05,1.34581,2.47098,2.27795,5.2869,0.726685
0.55,-1.6,804,0.199962,amp;g;cpx;q;ru,73.1329,1.09506,13.7108,4.91971e-05,1.38523,2.40917,2.13319,5.40834,0.725247
0.55,-1.5,799,0.199428,g;amp;cpx;opx;q;ru,73.3624,1.06274,13.5566,4.00731e-05,1.45432,2.36305,1.98987,5.48523,0.72578
0.55,-1.4,807,0.200301,opx;g;cpx;q;ru,73.9768,1.11434,12.7496,4.18106e-05,2.00287,2.31357,1.90989,5.23389,0.698995
0.55,-1.3,816,0.199882,cpx;opx;g;q;ru,74.4786,1.17147,11.9334,4.59022e-05,2.70851,2.21951,1.87142,4.94296,0.674054
0.55,-1.2,825,0.200095,ilm;g;cpx;opx;q,74.8907,1.17443,11.1278,5.18397e-05,3.53162,2.14908,1.90173,4.58179,0.642836
0.55,-1.1,932,0.20021,ilm;g;cpx;cpx,58.6921,1.78383,13.1789,0.000209943,13.7288,3.67686,3.91586,4.42524,0.598088
0.55,-1,950,0.200387,ilm;cpx;g;cpx,51.3869,1.74696,13.554,0.000267702,19.809,4.02284,4.59865,4.31628,0.565067
0.6,-5,846,0.200196,spl;amp;cpx;q;ru,73.2596,1.45503,13.2699,0.00527138,0.0980124,4.18111,3.47995,3.50194,0.749175
0.6,-4.5,846,0.200233,spl;cpx;amp;q;ru,73.2384,1.45908,13.2204,0.00507433,0.174772,4.21979,3.50442,3.45294,0.725106
0.6,-4,846,0.199497,amp;spl;cpx;q;ru,73.1699,1.45517,13.2058,0.00469991,0.307113,4.1884,3.4995,3.44981,0.719595
0.6,-3.5,846,0.200447,amp;spl;cpx;q;ru,73.0683,1.45483,13.1427,0.00418652,0.53609,4.16462,3.47319,3.44944,0.706639
0.6,-3,844,0.199863,amp;cpx;spl;q;ru,72.8566,1.43977,13.1508,0.00342551,0.899689,4.00055,3.39925,3.53772,0.712204
0.6,-2.9,843,0.199634,cpx;g;amp;q;ru,72.8209,1.43225,13.1622,0.0031483,0.974721,3.94378,3.37089,3.57901,0.713103
