# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
0.5,-5,0.2609,1171,0.201537,cpx;opx;fsp;q,75.4451,0.878493,7.97054,0.0345385,0.153069,8.36171,5.68901,1.31575,0.151751,0.7138
0.5,-4.5,0.4637,1170,0.199184,fsp;opx;cpx;q,75.3533,0.885145,7.97813,0.0341615,0.269766,8.31446,5.68994,1.32216,0.15292,0.7132
0.5,-4,0.8236,1169,0.202445,fsp;opx;cpx;q,75.2135,0.87138,7.98183,0.0337174,0.477189,8.24963,5.70435,1.31854,0.149846,0.7147
0.5,-3.5,1.4617,1168,0.195886,opx;cpx;fsp;q,74.9394,0.884274,8.00525,0.0326906,0.835931,8.10209,5.70604,1.34025,0.154104,0.7128
0.5,-3,2.5901,1166,0.204251,opx;fsp;cpx;q,74.5263,0.844022,8.01853,0.0313695,1.44991,7.9027,5.7465,1.33452,0.146126,0.7167
0.5,-2.9,2.9033,1165,0.204824,opx;fsp;cpx;q,74.4136,0.836625,8.02457,0.0308249,1.61453,7.84315,5.75268,1.33869,0.145325,0.7169
0.5,-2.8,3.2540,1164,0.19637,opx;fsp;cpx;q,74.2625,0.859968,8.04287,0.0303671,1.79393,7.75365,5.74414,1.36201,0.150532,0.7142
0.5,-2.7,3.6465,1163,0.198985,opx;fsp;cpx;q,74.1231,0.847364,8.04801,0.0300233,1.99956,7.68509,5.75794,1.36044,0.148465,0.7154
0.5,-2.6,4.0858,1162,0.202791,opx;cpx;fsp;q,73.9738,0.831079,8.05227,0.029574,2.22396,7.61246,5.77436,1.35758,0.144941,0.7171
0.5,-2.5,4.5772,1161,0.198095,opx;cpx;fsp;q,73.7921,0.838618,8.06822,0.0289049,2.46633,7.50834,5.77387,1.37627,0.14733,0.7156
0.5,-2.4,5.1268,1161,0.204874,opx;cpx;fsp;q,73.6196,0.810697,8.07118,0.0283077,2.7372,7.42459,5.79657,1.36973,0.142101,0.7182
0.5,-2.3,5.7411,1159,0.203143,cpx;opx;fsp;q,73.406,0.810351,8.08574,0.0276872,3.03218,7.30824,5.80482,1.38279,0.142218,0.7179
0.5,-2.2,6.4276,1158,0.202997,opx;fsp;cpx;q,73.1842,0.800332,8.09932,0.0269647,3.35277,7.18443,5.81482,1.39628,0.140923,0.7179
0.5,-2.1,7.1942,1157,0.204834,opx;fsp;cpx;q,72.9393,0.785938,8.11269,0.0261971,3.70747,7.05316,5.83136,1.40415,0.139692,0.7188
0.5,-2,8.0500,1155,0.198441,cpx;opx;fsp;q,72.6611,0.795684,8.13665,0.0253652,4.0848,6.88786,5.83004,1.43615,0.142344,0.7165
0.5,-1.9,9.0046,1154,0.200166,opx;cpx;q,72.4196,0.781856,8.08043,0.0246166,4.52003,6.75592,5.84491,1.43251,0.140169,0.7233
0.5,-1.8,10.0688,1154,0.200491,opx;cpx;q,72.1861,0.776211,7.95514,0.0238904,5.01756,6.62991,5.857,1.41621,0.137991,0.7363
0.5,-1.7,11.2542,1154,0.200534,opx;cpx;q,71.9334,0.769138,7.8192,0.023165,5.55916,6.49102,5.86809,1.3994,0.137452,0.7505
0.5,-1.6,12.5736,1154,0.200715,opx;cpx;q,71.6515,0.760801,7.67321,0.0225063,6.15812,6.33672,5.88028,1.3827,0.134202,0.7663
0.5,-1.5,14.0405,1154,0.200098,cpx;opx;q,71.3426,0.751663,7.51726,0.0218217,6.81161,6.16705,5.88991,1.36495,0.133096,0.7835
0.5,-1.4,15.6699,1155,0.200915,opx;cpx;q,71.0192,0.723483,7.32633,0.0213777,7.54541,6.00095,5.90736,1.32647,0.129378,0.8063
0.5,-1.3,17.4776,1160,0.200112,cpx;opx,70.3201,0.683139,7.17999,0.0216426,8.55085,5.86941,5.96962,1.27837,0.126909,0.8314
0.5,-1.2,19.4805,1213,0.199982,cpx;opx,64.2142,0.682628,7.7306,0.0289937,12.8715,6.2514,6.82638,1.27052,0.12371,0.8830
0.5,-1.1,21.6965,1255,0.199869,cpx;opx,57.3988,0.647858,8.12733,0.0384234,18.4093,6.61313,7.44256,1.20344,0.119129,0.9157
0.5,-1,24.1443,1279,0.199158,opx;cpx,49.8742,0.605269,8.35221,0.0488977,25.1773,6.89048,7.83248,1.10675,0.112466,0.9378
0.55,-5,0.2609,1170,0.198576,fsp;opx;cpx;q,75.4662,0.878247,7.97974,0.0319393,0.142941,8.33634,5.65602,1.3543,0.15432,0.7088
0.55,-4.5,0.4637,1169,0.196021,opx;cpx;fsp;q,75.3798,0.88541,7.98762,0.0316084,0.252246,8.29001,5.65529,1.36232,0.155726,0.7080
0.55,-4,0.8236,1169,0.198441,cpx;fsp;opx;q,75.2481,0.875123,7.99148,0.0311569,0.445143,8.22821,5.66729,1.36076,0.152705,0.7092
0.55,-3.5,1.4617,1168,0.199831,opx;fsp;cpx;q,75.0133,0.863152,8.00303,0.0304577,0.780031,8.11171,5.68315,1.36364,0.151509,0.7101
0.55,-3,2.5901,1165,0.196928,cpx;opx;fsp;q,74.5982,0.859286,8.02991,0.0291643,1.35561,7.89262,5.69834,1.38586,0.151015,0.7096
0.55,-2.9,2.9033,1164,0.196702,cpx;opx;fsp;q,74.4876,0.855764,8.03652,0.0289197,1.51182,7.83436,5.70393,1.39039,0.150715,0.7098
0.55,-2.8,3.2540,1164,0.197564,opx;fsp;cpx;q,74.3704,0.847219,8.04249,0.0285006,1.68363,7.77291,5.71134,1.39353,0.150026,0.7101
0.55,-2.7,3.6465,1163,0.199663,fsp;opx;cpx;q,74.2422,0.836529,8.0477,0.028036,1.87287,7.70811,5.7218,1.39451,0.148237,0.7110
0.55,-2.6,4.0858,1162,0.202781,cpx;fsp;opx;q,74.0998,0.822526,8.05198,0.0275436,2.08556,7.63852,5.73625,1.39279,0.145062,0.7124
0.55,-2.5,4.5772,1161,0.19763,fsp;opx;cpx;q,73.9273,0.832866,8.06839,0.027003,2.31247,7.53735,5.73306,1.41373,0.147797,0.7106
0.55,-2.4,5.1268,1161,0.20382,cpx;opx;fsp;q,73.7618,0.805848,8.07178,0.0264872,2.57266,7.45579,5.75381,1.40805,0.143795,0.7128
0.55,-2.3,5.7411,1159,0.201365,fsp;opx;cpx;q,73.5608,0.805873,8.08693,0.0260802,2.85116,7.3417,5.75828,1.4245,0.144651,0.7120
0.55,-2.2,6.4276,1158,0.200478,opx;fsp;cpx;q,73.3459,0.802343,8.10027,0.0251844,3.1543,7.224,5.76638,1.43823,0.143373,0.7119
0.55,-2.1,7.1942,1157,0.200731,opx;cpx;q,73.1184,0.792314,8.11083,0.0245921,3.48697,7.0962,5.77629,1.45105,0.143363,0.7122
0.55,-2,8.0500,1157,0.201221,cpx;opx;q,72.9359,0.786337,8.012,0.0241534,3.87839,6.99837,5.78677,1.43802,0.140048,0.7223
0.55,-1.9,9.0046,1156,0.19831,cpx;opx;q,72.7049,0.789541,7.94264,0.0235355,4.29892,6.86887,5.79225,1.43883,0.140468,0.7293
0.55,-1.8,10.0688,1156,0.198444,opx;cpx;q,72.4872,0.781932,7.8222,0.022942,4.77218,6.74799,5.80156,1.42499,0.138958,0.7417
0.55,-1.7,11.2542,1156,0.198959,opx;cpx;q,72.2392,0.774585,7.69153,0.0222873,5.29985,6.6137,5.81373,1.40776,0.137307,0.7559
0.55,-1.6,12.5736,1156,0.199243,opx;cpx;q,71.9654,0.767926,7.5519,0.0217079,5.87505,6.46664,5.82687,1.38905,0.135438,0.7716
0.55,-1.5,14.0405,1161,0.19989,cpx;opx,71.2992,0.756062,7.46293,0.0215339,6.67284,6.35183,5.9284,1.37352,0.133629,0.7944
0.55,-1.4,15.6699,1206,0.199833,cpx;opx,66.5253,0.741682,8.03561,0.0273073,9.57758,6.70516,6.87367,1.38226,0.131478,0.8554
0.55,-1.3,17.4776,1245,0.200061,opx;cpx,61.2334,0.745071,8.42881,0.0338191,13.404,7.09005,7.56367,1.37214,0.128987,0.8974
0.55,-1.2,19.4805,1275,0.199461,opx;cpx,55.391,0.715623,8.69667,0.0415014,18.1981,7.45872,8.05135,1.32169,0.1254,0.9258
0.55,-1.1,21.6965,1293,0.199989,opx;cpx,48.8875,0.668876,8.77629,0.0492771,24.1039,7.80681,8.34865,1.23847,0.120147,0.9513
0.55,-1,24.1443,1287,0.201045,ol;opx;cpx,47.4441,0.645564,8.74456,0.0516566,26.0548,7.44505,8.30875,1.19077,0.114705,0.9502
0.6,-5,0.2609,1169,0.195638,fsp;opx;cpx;q,75.4809,0.882916,7.98938,0.0299346,0.13422,8.30956,5.62476,1.39253,0.155771,0.7040
0.6,-4.5,0.4637,1169,0.201842,fsp;cpx;opx;q,75.4285,0.858262,7.98445,0.0296844,0.236789,8.2907,5.63956,1.38091,0.151161,0.7063
0.6,-4,0.8236,1169,0.203755,opx;fsp;cpx;q,75.3029,0.848797,7.989,0.0292208,0.419953,8.23066,5.64989,1.38009,0.149496,0.7072
0.6,-3.5,1.4617,1168,0.204245,cpx;fsp;opx;q,75.0817,0.838765,8.00099,0.02856,0.735753,8.11713,5.66163,1.38706,0.148387,0.7076
0.6,-3,2.5901,1165,0.199577,opx;fsp;cpx;q,74.6882,0.840476,8.02918,0.0274963,1.27633,7.90395,5.67049,1.41477,0.149102,0.7062
0.6,-2.9,2.9033,1164,0.199184,cpx;opx;fsp;q,74.5823,0.839249,8.0357,0.0270783,1.42348,7.84868,5.67485,1.41966,0.149023,0.7062
0.6,-2.8,3.2540,1164,0.199606,opx;fsp;cpx;q,74.4692,0.832554,8.04203,0.0268301,1.58755,7.78832,5.68103,1.42397,0.148548,0.7064
0.6,-2.7,3.6465,1163,0.201137,opx;fsp;cpx;q,74.347,0.823588,8.04731,0.0263487,1.76712,7.72575,5.68976,1.42623,0.146935,0.7070
0.6,-2.6,4.0858,1162,0.203873,fsp;opx;cpx;q,74.2127,0.810473,8.05226,0.0260721,1.96796,7.6575,5.70178,1.42668,0.14458,0.7081
0.6,-2.5,4.5772,1161,0.198172,opx;cpx;fsp;q,74.0462,0.821714,8.06884,0.0255136,2.18611,7.55837,5.6969,1.44874,0.147642,0.7060
0.6,-2.4,5.1268,1161,0.203496,opx;cpx;fsp;q,73.8889,0.800324,8.07237,0.0250602,2.42834,7.48132,5.71529,1.44458,0.143773,0.7080
0.6,-2.3,5.7411,1159,0.200433,cpx;fsp;opx;q,73.6974,0.802213,8.08703,0.0244609,2.69363,7.37104,5.71688,1.46336,0.143966,0.7069
0.6,-2.2,6.4276,1159,0.199423,opx;cpx;q,73.5237,0.800932,8.05307,0.0240166,2.99058,7.27544,5.72269,1.46535,0.144175,0.7106
0.6,-2.1,7.1942,1159,0.199896,opx;cpx;q,73.3674,0.793795,7.96653,0.0236342,3.33061,7.1909,5.73105,1.45311,0.143013,0.7194
0.6,-2,8.0500,1159,0.200306,cpx;opx;q,73.191,0.789077,7.8722,0.0232988,3.70465,7.098,5.74158,1.43859,0.14157,0.7293
0.6,-1.9,9.0046,1159,0.201045,opx;cpx;q,72.9952,0.780914,7.76541,0.0227549,4.12833,6.99175,5.75171,1.4245,0.139396,0.7407
0.6,-1.8,10.0688,1159,0.201435,opx;cpx;q,72.7821,0.774697,7.65124,0.0222408,4.58285,6.87725,5.76274,1.40828,0.138576,0.7532
0.6,-1.7,11.2542,1187,0.200152,cpx;opx,70.0971,0.788379,8.04818,0.0252415,5.97099,7.08025,6.40897,1.44293,0.137976,0.7963
0.6,-1.6,12.5736,1220,0.199945,cpx;opx,66.4097,0.791422,8.53672,0.0295583,8.00742,7.37147,7.25272,1.46417,0.136853,0.8496
0.6,-1.5,14.0405,1251,0.200285,cpx;opx,62.2974,0.813889,8.89569,0.0342536,10.7054,7.71851,7.91523,1.48356,0.135991,0.8898
0.6,-1.4,15.6699,1279,0.200128,opx,57.764,0.805505,9.13106,0.0402033,14.1517,8.12127,8.39087,1.46232,0.133074,0.9189
0.6,-1.3,17.4776,1298,0.200063,opx,52.7469,0.792021,9.25642,0.0456261,18.35,8.48838,8.7573,1.43324,0.130148,0.9461
0.6,-1.2,19.4805,1305,0.199187,ol;opx;cpx,48.0734,0.752924,9.22745,0.0503121,22.7639,8.71516,8.91481,1.3751,0.126867,0.9661
0.6,-1.1,21.6965,1296,0.199556,opx;ol;cpx,47.6964,0.724519,9.19518,0.051708,23.8792,8.19316,8.80814,1.32915,0.122462,0.9579
0.6,-1,24.1443,1286,0.199191,cpx;ol;opx,47.3158,0.704134,9.20837,0.0534193,24.9093,7.66222,8.73722,1.29071,0.118879,0.9488
0.65,-5,0.2609,1169,0.201779,fsp;opx;cpx;q,75.5274,0.851857,7.9864,0.0280384,0.126365,8.30796,5.60961,1.41072,0.151609,0.7024
0.65,-4.5,0.4637,1169,0.198349,opx;cpx;fsp;q,75.4486,0.860777,7.99489,0.0278938,0.224069,8.26275,5.60653,1.42137,0.153153,0.7013
0.65,-4,0.8236,1168,0.199781,opx;fsp;cpx;q,75.3303,0.852664,7.99973,0.0274546,0.396361,8.20444,5.61466,1.42261,0.151747,0.7019
0.65,-3.5,1.4617,1167,0.199361,cpx;opx;fsp;q,75.1194,0.846617,8.01221,0.0268655,0.693955,8.09436,5.62336,1.4321,0.151103,0.7018
0.65,-3,2.5901,1165,0.202846,fsp;opx;cpx;q,74.7651,0.82286,8.02879,0.0259392,1.20998,7.91353,5.64682,1.43889,0.148106,0.7033
0.65,-2.9,2.9033,1164,0.201891,cpx;opx;fsp;q,74.6632,0.823639,8.0355,0.0257255,1.34996,7.85896,5.64987,1.44562,0.14756,0.7031
0.65,-2.8,3.2540,1164,0.202222,fsp;cpx;opx;q,74.5569,0.81583,8.04183,0.0252329,1.50677,7.80061,5.6541,1.45101,0.147711,0.7031
0.65,-2.7,3.6465,1163,0.20347,cpx;opx;fsp;q,74.4375,0.811049,8.04666,0.0249079,1.67887,7.73962,5.66183,1.45517,0.14441,0.7036
0.65,-2.6,4.0858,1162,0.196009,opx;fsp;cpx;q,74.2861,0.830898,8.06482,0.0245859,1.86436,7.64757,5.65294,1.47949,0.14927,0.7009
0.65,-2.5,4.5772,1161,0.199349,opx;cpx;fsp;q,74.1528,0.811267,8.06938,0.0241457,2.07349,7.57678,5.66443,1.48065,0.14711,0.7020
0.65,-2.4,5.1268,1161,0.198425,opx;cpx;q,74.0089,0.810133,8.05086,0.0238269,2.30837,7.49732,5.66847,1.48495,0.147126,0.7041
0.65,-2.3,5.7411,1161,0.198766,opx;cpx;q,73.8845,0.807413,7.98139,0.0234956,2.5747,7.4331,5.67537,1.4737,0.146302,0.7111
0.65,-2.2,6.4276,1161,0.199452,opx;cpx;q,73.7465,0.798386,7.90808,0.0232508,2.8732,7.35994,5.68443,1.46194,0.14431,0.7188
0.65,-2.1,7.1942,1180,0.199971,opx;cpx,72.2505,0.805332,8.14454,0.0251928,3.54183,7.52232,6.08858,1.47813,0.1436,0.7476
0.65,-2,8.0500,1206,0.200199,opx;cpx,69.9276,0.81578,8.52998,0.0284833,4.54827,7.79118,6.71094,1.50523,0.142489,0.7867
