Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Rainout,Relative Humidity,August Roche Magnus,Cloud Cover,Cloud Destruction,Moist Convection,Surface_Temp (K),Status
run_3,1118.1912376956864,M5,6371000.0,5.972e+24,404969.89601770963,0.8754862265166227,1.0315008644095037e-06,0.05,0.6666,True,0.77,False,0.55,True,True,371.997,Success
run_0,1994.7983965093515,M5,6371000.0,5.972e+24,173442.14509693865,0.5362719726145468,2.5254124238215557e-06,0.05,0.6666,True,0.77,False,0.55,True,True,427.742,Success
run_7,1462.548936616324,M5,6371000.0,5.972e+24,198257.83433393738,0.00016449234804590538,0.5408621809321777,0.05,0.6666,True,0.77,False,0.55,True,True,552.369,Success
run_6,898.1091874880618,M5,6371000.0,5.972e+24,541772.3554611325,2.7245769456111307e-06,0.02343220388911365,0.05,0.6666,True,0.77,False,0.55,True,True,458.276,Success
run_2,1761.1026837682186,M5,6371000.0,5.972e+24,908361.6226224063,0.006879633329786287,0.15109948802082984,0.05,0.6666,True,0.77,False,0.55,True,True,625.546,Success
run_10,1878.8337456903919,M5,6371000.0,5.972e+24,30276.251700874673,5.256680610806313e-06,0.17227635428237567,0.05,0.6666,True,0.77,False,0.55,True,True,430.881,Success
run_4,996.1586578126409,M5,6371000.0,5.972e+24,43514.26646057788,1.6950385768042902e-05,1.0096312137682048e-06,0.05,0.6666,True,0.77,False,0.55,True,True,330.485,Success
run_1,488.5706996022403,M5,6371000.0,5.972e+24,19251.347162153797,0.03957327694874085,4.669609123559798e-05,0.05,0.6666,True,0.77,False,0.55,True,True,266.372,Success
run_12,800.1077356479233,M5,6371000.0,5.972e+24,998456.812544285,0.5171101886318401,4.526884793700185e-06,0.05,0.6666,True,0.77,False,0.55,True,True,392.322,Success
run_5,947.379037641529,M5,6371000.0,5.972e+24,78049.67066581624,0.1700387681119175,0.00044865450658688127,0.05,0.6666,True,0.77,False,0.55,True,True,355.637,Success
run_17,458.70014846844805,M5,6371000.0,5.972e+24,97745.1146704254,9.114624228360653e-05,0.003777097022479321,0.05,0.6666,True,0.77,False,0.55,True,True,294.972,Success
run_8,1486.4163407325946,M5,6371000.0,5.972e+24,36693.42955121302,0.000645384779255555,7.890820196188032e-06,0.05,0.6666,True,0.77,False,0.55,True,True,369.042,Success
run_11,776.4432031309033,M5,6371000.0,5.972e+24,36117.67317742919,0.21644297491735845,4.175437242671074e-06,0.05,0.6666,True,0.77,False,0.55,True,True,323.777,Success
run_18,1546.637666853501,M5,6371000.0,5.972e+24,16611.23694454254,0.1795305585937418,0.17865711273188284,0.05,0.6666,True,0.77,False,0.55,True,True,428.249,Success
run_9,1326.2861115586775,M5,6371000.0,5.972e+24,28851.518642653264,0.00011236633997678953,9.713942258223906e-06,0.05,0.6666,True,0.77,False,0.55,True,True,356.319,Success
run_19,1710.816264757126,M5,6371000.0,5.972e+24,34906.94598828538,0.06157740548001668,0.01806721840606159,0.05,0.6666,True,0.77,False,0.55,True,True,438.054,Success
run_15,2006.6948922809358,M5,6371000.0,5.972e+24,13973.664000157558,0.1074467515673132,4.299104181081721e-05,0.05,0.6666,True,0.77,False,0.55,True,True,405.389,Success
run_16,1402.293941959405,M5,6371000.0,5.972e+24,20093.447993932004,5.835757502732036e-06,1.7089082318776832e-06,0.05,0.6666,True,0.77,False,0.55,True,True,359.042,Success
run_13,723.5205625577898,M5,6371000.0,5.972e+24,826488.38867358,0.02354917434000684,1.8690240004184883e-06,0.05,0.6666,True,0.77,False,0.55,True,True,354.246,Success
run_21,738.123537914877,M5,6371000.0,5.972e+24,538736.5618524964,0.00021862620666881474,0.0046372573720001075,0.05,0.6666,True,0.77,False,0.55,True,True,371.242,Success
run_14,362.75530258458207,M5,6371000.0,5.972e+24,765459.0446928936,0.37496942289293395,0.3259345787245927,0.05,0.6666,True,0.77,False,0.55,True,True,381.358,Success
run_22,148.22074795129694,M5,6371000.0,5.972e+24,25127.845856087355,1.5738834169641918e-05,0.39035095358078964,0.05,0.6666,True,0.77,False,0.55,True,True,223.787,Success
run_23,1945.841673817253,M5,6371000.0,5.972e+24,730976.6330243723,2.3886696824370254e-06,0.16429939790622397,0.05,0.6666,True,0.77,False,0.55,True,True,613.521,Success
