t_Myr,dt_kyr,T,P_CO2,rel_change,slowest,Da,A_reactive,supply_efficiency,Y_Alkalinity,Y_C,Y_Si,Y_Al,Y_Fe,Y_Ca,Y_Mg,Y_Na,F_out_Alkalinity,F_out_C,F_out_Si,F_out_Al,F_out_Fe,F_out_Ca,F_out_Mg,F_out_Na,F_diss_Alkalinity,F_diss_C,F_diss_Si,F_diss_Al,F_diss_Fe,F_diss_Ca,F_diss_Mg,F_diss_Na,F_prec_Alkalinity,F_prec_C,F_prec_Si,F_prec_Al,F_prec_Fe,F_prec_Ca,F_prec_Mg,F_prec_Na,F_cont_Alkalinity,F_cont_C,F_cont_Si,F_cont_Al,F_cont_Fe,F_cont_Ca,F_cont_Mg,F_cont_Na,F_net_Alkalinity,F_net_C,F_net_Si,F_net_Al,F_net_Fe,F_net_Ca,F_net_Mg,F_net_Na
2.0200,20.00,350.0000,5.211942e+03,1.851408e+02,P_CO2,3.649337e-03,1.681926e+00,0.3643%,3.742815e-02,3.727686e-02,1.748419e-03,1.151957e-15,2.014771e-08,7.842775e-04,6.835948e-06,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.472341e-15,-9.858334e-17,1.655922e-15,3.058019e-29,2.738314e-20,1.018940e-15,8.460877e-18,-8.673378e-31,-2.054504e-15,-1.027395e-15,-1.652305e-15,-4.249220e-30,-2.724150e-20,-1.018675e-15,-8.412114e-18,-4.244321e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.178374e-16,4.246550e-16,3.616737e-18,2.633097e-29,1.416429e-22,2.644436e-19,4.876241e-20,-5.111659e-30
4.4200,24.00,350.0000,1.141630e+04,1.190412e+00,P_CO2,3.783692e-03,1.661352e+00,0.3777%,6.432993e-02,6.474294e-02,2.111794e-03,3.820808e-15,3.242623e-08,8.881637e-04,1.035519e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.371236e-15,-2.039846e-16,1.888482e-15,4.818956e-29,3.871391e-20,1.021513e-15,1.171725e-17,-1.781812e-30,-2.066486e-15,-1.033521e-15,-1.886733e-15,-4.599063e-30,-3.860001e-20,-1.021247e-15,-1.169172e-17,-4.581675e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.047501e-16,3.131272e-16,1.749550e-18,4.359050e-29,1.138998e-22,2.663301e-19,2.552150e-20,-6.363486e-30
7.3000,28.80,350.0000,1.846565e+04,6.174811e-01,P_CO2,3.884607e-03,1.651101e+00,0.3877%,8.890906e-02,9.003177e-02,2.489581e-03,8.568014e-15,4.674475e-08,1.009826e-03,1.380513e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.286104e-15,-2.794894e-16,2.026857e-15,6.537758e-29,4.833780e-20,1.009731e-15,1.371444e-17,-2.431443e-30,-2.047102e-15,-1.023966e-15,-2.025647e-15,-4.872687e-30,-4.822461e-20,-1.009425e-15,-1.368309e-17,-4.831381e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.390017e-16,2.471772e-16,1.209847e-18,6.050489e-29,1.131887e-22,3.054535e-19,3.134952e-20,-7.262824e-30
10.7560,34.56,350.0000,2.619404e+04,4.185281e-01,P_CO2,3.970238e-03,1.646242e+00,0.3962%,1.123307e-01,1.142580e-01,2.929550e-03,1.610070e-14,6.365025e-08,1.146715e-03,1.775039e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.190847e-15,-3.513675e-16,2.124129e-15,8.245530e-29,5.632033e-20,9.840795e-16,1.521268e-17,-3.048253e-30,-1.999251e-15,-1.000172e-15,-2.123260e-15,-5.031665e-30,-5.622391e-20,-9.838694e-16,-1.518442e-17,-4.951721e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.915955e-16,1.990937e-16,8.698617e-19,7.742363e-29,9.642111e-23,2.101717e-19,2.826349e-20,-7.999974e-30
14.9032,41.47,350.0000,3.427762e+04,9.801085e-01,Mg,4.034301e-03,1.640934e+00,0.4026%,1.347972e-01,1.376329e-01,3.448978e-03,2.735253e-14,8.196312e-08,1.284666e-03,1.662562e-06,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.036009e-15,-4.400605e-16,2.189337e-15,9.884916e-29,6.141328e-20,9.359520e-16,3.079740e-19,-3.810560e-30,-1.978230e-15,-9.897974e-16,-2.204701e-15,-5.234683e-30,-6.357325e-20,-9.577531e-16,-3.065747e-17,-5.094087e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.777896e-17,1.207750e-16,-1.536401e-17,9.361447e-29,-2.159972e-21,-2.180106e-17,-3.034950e-17,-8.904647e-30
16.9768,20.74,350.0000,3.843206e+04,1.211997e-01,P_CO2,4.006408e-03,1.616037e+00,0.3998%,1.441693e-01,1.476138e-01,2.222292e-03,3.401686e-14,5.947672e-08,8.798144e-04,1.738646e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.439295e-15,-2.513146e-16,2.253216e-15,1.116581e-28,7.917207e-20,1.124234e-15,2.239969e-17,-2.175736e-30,-2.294965e-15,-1.148343e-15,-2.252944e-15,-6.166194e-30,-7.912978e-20,-1.124204e-15,-2.239059e-17,-5.960418e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.443299e-16,1.509756e-16,2.716362e-19,1.054919e-28,4.229669e-23,2.967912e-20,9.097968e-21,-8.136154e-30
19.4651,24.88,350.0000,4.279538e+04,1.135333e-01,P_CO2,4.042827e-03,1.617701e+00,0.4035%,1.550172e-01,1.589198e-01,2.488684e-03,4.263888e-14,7.016028e-08,9.764560e-04,1.992515e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.365676e-15,-2.958065e-16,2.280433e-15,1.204996e-28,8.165509e-20,1.094581e-15,2.252422e-17,-2.558791e-30,-2.236036e-15,-1.118937e-15,-2.280178e-15,-6.154154e-30,-8.161653e-20,-1.094559e-15,-2.251573e-17,-5.897869e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.296398e-16,1.358897e-16,2.548053e-19,1.143454e-28,3.856023e-23,2.124279e-20,8.487970e-21,-8.456661e-30
22.4511,29.86,350.0000,4.761799e+04,1.126901e-01,P_CO2,4.082090e-03,1.620345e+00,0.4074%,1.666155e-01,1.710230e-01,2.825231e-03,5.386021e-14,8.322261e-08,1.090250e-03,2.291243e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.278366e-15,-3.475104e-16,2.306871e-15,1.302845e-28,8.360771e-20,1.058390e-15,2.243037e-17,-3.003539e-30,-2.163351e-15,-1.082649e-15,-2.306483e-15,-6.112840e-30,-8.353046e-20,-1.058270e-15,-2.241168e-17,-5.793139e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.150149e-16,1.204731e-16,3.875159e-19,1.241717e-28,7.725073e-23,1.197243e-19,1.869018e-20,-8.796678e-30
26.0343,35.83,350.0000,5.284243e+04,1.097156e-01,P_CO2,4.123700e-03,1.624039e+00,0.4115%,1.787929e-01,1.837455e-01,3.247978e-03,6.848519e-14,9.883995e-08,1.221520e-03,2.632299e-05,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.176087e-15,-4.067085e-16,2.331620e-15,1.410142e-28,8.474585e-20,1.015192e-15,2.205504e-17,-3.512262e-30,-2.076580e-15,-1.039311e-15,-2.331383e-15,-6.040605e-30,-8.471404e-20,-1.015197e-15,-2.205671e-17,-5.641922e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.950692e-17,1.046129e-16,2.368148e-19,1.349736e-28,3.180713e-23,-4.462442e-21,-1.666085e-21,-9.154184e-30
30.3341,43.00,350.0000,5.811957e+04,1.000000e+00,Mg,4.151028e-03,1.623460e+00,0.4142%,1.911079e-01,1.966843e-01,3.761152e-03,8.756744e-14,1.151573e-07,1.350971e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.550633e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.001599e-15,-4.931678e-16,2.343942e-15,1.517706e-28,8.345995e-20,9.514467e-16,-2.430473e-18,-4.257210e-30,-2.045529e-15,-1.023863e-15,-2.363717e-15,-6.164173e-30,-8.635768e-20,-9.790564e-16,-4.260131e-17,-5.649094e-30,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.393030e-17,3.360215e-17,-1.977452e-17,1.456064e-28,-2.897734e-21,-2.760971e-17,-4.503178e-17,-9.906305e-30
